District,Col_1,Col_2,Col_3,Col_4,Col_5
Arwal,392,40,75,,
Aurangabad,461,52,,,
Banka,428,50,,,
Bhagalpur,56,126347,2240,215104,
Bhojpur,7,,,,
Gaya,3,9,,,
Gopalganj,10,17,50,,
Jamui,65,79,105,,
Jehanabad,485,1,1,,
Kaimur (Bhabua),97,37,94,,
Katihar,67,37,40,,
Khagaria,372,6,,,
Kishanganj,103,9,,,
Lakhisarai,11966,9,12,9,10
Madhepura,4226,54,139,126,84
Madhubani,8307,4504,2106,10,19
Munger,13584,104,5324,42,49
Muzaffarpur,24035,13,11,7,14
Nawada,2245,2194328370,91,5,5
Pashchim Champaran,33078,131,118,,
Patna,33194,3,,,
Purbi Champaran,1855276,20,2970,,
Purnia,7283,16,,,
Rohtas,12068,30,350,,
Saharsa,6907,232,,,
Samastipur,15,20,,,
Saran,27564,,,,
Sheohar,3832,18,1548,,
Sitamarhi,30159,,,,
Siwan,15967,28,93,,
Supaul,3717,92,21,,
Vaishali,20568,13,,,
