District,Branch Rural,Branch Semi-Urban
Araria,66,
Aurangabad,47,
Begusarai,77,
Bhagalpur,92,
Bhojpur,43,
Buxar,22,
Darbhanga,26,
Gaya,36,
Gopalganj,81,
Jamui,25,
Jehanabad,12,
Kaimur (Bhabua),51,
Katihar,23,
Khagaria,54,
Kishanganj,12,
Lakhisarai,1.9,
Madhepura,65,
Madhubani,122,
Munger,22,
Muzaffarpur,44,
Nalanda,59,
Nawada,54,
Pashchim Champaran,49,
Patna,174,
Purbi Champaran,58,
Purnia,20,
Rohtas,61,
Samastipur,141,
Saran,38,
Sheikhpura,32,
Sheohar,16,2
Sitamarhi,76,
Siwan,39,
Supaul,66,4
Vaishali,44,
