District,Col_1,Col_2,Col_3,Col_4,Col_5
Araria,222706,675555,,,
Arwal,1883,158030,177591,,
Aurangabad,123067,7137,644153,546792,
Begusarai,102059,3995,520094,395946,
Bhagalpur,132270,3554,521324,340970,
Bhojpur,203958,7108,795467,974526,
Buxar,100241,4375,448563,429367,
Darbhanga,288542,20302,1024437,345760,
Gaya,259919,9445,1132476,1167533,
Gopalganj,429788,1015237,330770,,
Jamui,77957,1532,349240,168210,
Jehanabad,67131,5012,233729,372423,
Kaimur (Bhabua),63127,4322,372997,856575,
Katihar,517,319020,18237,1007413,318723
Khagaria,287,95582,1858,417193,322488
Kishanganj,413,224338,13357,597576,348503
Lakhisarai,571,60881,2082,251849,122851
Madhepura,577,224127,16873,716423,227335
Madhubani,1738,292997,19109,984505,302732
Munger,210,69396,2087,299715,246646
Muzaffarpur,1201,324626,78319,1255858,675716
Nalanda,604,139160,5071,757714,588820
Nawada,478,122026,4208,715077,355580
Pashchim Champaran,3027,467036,67259,1588029,474880
Patna,1.427,8344,1629551,1346431,
Purbi Champaran,459694,26470,1426953,500499,
Saharsa,763,585704,,,
Samastipur,8586,1287234,862793,,
Saran,1049,,,,
Sheikhpura,1350,175983,83146,,
Siwan,623,898030308348663,34910,1188952,298738
Supaul,1.003,179192,31269,665738,295011
Vaishali,703,315343,33301,1370307,
