District,Total Branch,Total Deposit,Total Advance,Overall CD Ratio
Araria,,427121,270573,63.35
Arwal,,177220,60557,34.17
Aurangabad,,789341,389951,49.40
Begusarai,,906437,106521,57.49
Bhagalpur,,1434444,544306,37.95
Bhojpur,,1381801,364943,32.06
Buxar,,619050,241224,38.97
Darbhanga,,1657631,425762,36.52
Gaya,,1640050,683013,41.65
Gopalganj,781.029,293238,,37.55
Jamui,,420827,194506,46.22
Jehanabad,95,355748,147771,31.38
Kaimur (Bhabua),191,378257,225126,59.52
Katihar,187,617737,350057,56.67
Khagaria,131,335327,192144,57.30
Kishanganj,108,307168,206225,67.14
Lakhisarai,80,314283,116549,37.08
Madhepura,161,334818,172306,51.46
Madhubani,279,855052,327858,38.34
Munger,130,723625,202892,28.04
Muzaffarpur,379,1841304,929980,50.51
Nalanda,252,1070072,399709,37.35
Nawada,140,526988,205205,38.94
Pashchim Champaran,208,633168,382001,60.33
Patna,933,12605546,4944284,39.22
Purbi Champaran,,949984,561520,159.1
Purnia,226,673967,132551,81.77
Rohtas,227,963929,450648,46.75
Saharsa,102,421531,196808,46.69
Samastipur,286,1046176,516438,49.36
Saran,259,1319657,402994,30.54
Sheikhpura,,190379,80952,42.52
Sheohar,,96228,53454,55.55
Sitamarhi,172,618945,278159,44.94
Siwan,244,1200486,470572,39.20
Supaul,120,376426,195773,52.01
Vaishali,247,1002663,567389,56.59
