district,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,CDR Rural,CDR Semi Urban,CDR Urban,Overal CD Ratio
Anjaw,10374.42,0,0,10374.42,1944.07,0,0,1944.07,18.73907167822394,0,0,18.73907167822394
Changlang,64367.54,1728.05,0,66095.59,12230.08,336.44,0,12566.52,19.00038435522004,19.469344058331643,0,19.01264517042665
Dibang Valley,7969.24,753.18,0,8722.42,1549.58,228.15,0,1777.73,19.44451415693341,30.291563769616825,0,20.38115568844426
East Kameng,0,24491.02,0,24491.02,0,12855.75,0,12855.75,0,52.491688790421954,0,52.491688790421954
East Siang,27749.27,85564.71,0,113313.98000000001,5182.73,27978.4,0,33161.130000000005,18.67699582727762,32.69852723161219,0,29.264817986271424
Kamle,2422.25,0,0,2422.25,739.25,0,0,739.25,30.519145422644232,0,0,30.519145422644232
Kra Daadi,6046.25,0,0,6046.25,1768.27,0,0,1768.27,29.245730824891464,0,0,29.245730824891464
Kurung Kumey,7328.85,2072.01,0,9400.86,2141.39,1217.55,0,3358.9399999999996,29.21863593878985,58.76178203773147,0,35.73013532804445
Lohit,5245.38,37650.1,0,42895.479999999996,2187.69,9342.18,0,11529.87,41.70698786360569,24.813161186822878,0,26.878985851189917
Longding,13138.09,0,0,13138.09,4729,0,0,4729,35.99457759841804,0,0,35.99457759841804
Lower Dibang Valley,1989.3,42073.65,0,44062.950000000004,420.37,8097.37,0,8517.74,21.13155381289901,19.24570366488289,0,19.330843713369166
Lower Subansiri,14500.12,50732.17,0,65232.29,4584.98,18495.75,0,23080.73,31.620290038978982,36.45763624934632,0,35.38236968225399
Namsai,22185.879999999997,22727.41,0,44913.28999999999,6482.3,5869.23,0,12351.529999999999,29.218133335256486,25.824456020285634,0,27.50083549880225
Pakke Kessang,2159.01,0,0,2159.01,1651.72,0,0,1651.72,76.50358266057128,0,0,76.50358266057128
Papum Pare,79599.56,832582.68,6356.25,918538.49,23604.75,315070.91,22738.06,361413.72,29.654372461355315,37.84259720608168,357.7275909537857,39.3466059326485
Shi Yomi,0,0,1016.68,1016.68,0,0,275.12,275.12,0,0,27.06062871306606,27.06062871306606
Siang,10930.73,0,0,10930.73,1465.26,0,0,1465.26,13.404960144473424,0,0,13.404960144473424
Tawang,100586.26999999999,34270.66,0,134856.93,6953.09,4135.01,0,11088.1,6.912563712721428,12.065743700296405,0,8.222121028559675
Tirap,34324.310000000005,1953.83,0,36278.14000000001,10369.2,1051.52,0,11420.720000000001,30.209492922071846,53.81839771116218,0,31.480996545026834
Upper Siang,28487.73,1693.57,0,30181.3,4330.58,579.64,0,4910.22,15.201562216434935,34.225925116765175,0,16.269080523370434
Upper Subansiri,14806.27,29709.22,0,44515.490000000005,2104.45,15969.1,0,18073.55,14.213235338812542,53.751327029117554,0,40.60058644754893
West Kameng,95094.13,319.87,0,95414,17901.57,1083.47,0,18985.04,18.82510518788068,338.7219808047019,0,19.897541241327268
West Siang,48996.22,60285.92,0,109282.14,12037,20217.129999999997,0,32254.13,24.567201306549773,33.53540926305843,0,29.51454830588054
