district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,45.75,49,4.50,7,0.62,1,1.36,45.45,65
Kiphire,7.81,7,0.72,1,0.60,1,6.11,9.82,10
Kohima,27.90,27,0.03,2,2.10,2,7.26,28.92,32
Longleng,0.00,0,0.00,0,1.19,2,0.00,0.00,0
Mokokchung,21.10,19,0.02,1,13.22,18,13.04,101.38,120
Mon,9.61,9,0.00,0,2.44,4,7.49,32.58,41
Peren,9.10,39,0.12,32,0.00,0,0.00,13.71,41
Phek,12.70,9,0.05,1,0.00,0,0.00,8.55,7
Tuensang,11.20,12,0.00,0,1.20,1,8.83,13.59,12
Wokha,22.57,20,0.00,0,5.41,5,17.15,31.55,34
Zunheboto,12.10,13,0.00,0,3.52,5,15.93,22.10,21
