district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Dimapur,219.51,19,13005.29,4525,1682.17,176,9210.91,423,714.50,80,24832.38,5223,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,0.00,1,21.60,3,21.60,4,0.00,0
Kohima,12.33,10,5157.27,2095,0.00,1,155.16,84,38.23,16,5362.99,2206,0.00,0
Longleng,0.00,0,0.00,0,0.00,0,17.00,5,0.00,0,17.00,5,0.00,0
Mokokchung,1.64,3,3738.00,2149,7.00,1,26.19,24,1.60,7,3774.43,2184,0.00,0
Mon,0.00,1,947.53,211,0.00,0,13.09,26,0.00,0,960.62,238,0.00,0
Peren,9.90,1,0.00,0,0.00,0,12.70,8,0.00,1,22.60,10,0.00,0
Phek,12.00,1,0.00,0,0.00,0,38.24,16,0.00,0,50.24,17,0.00,0
Tuensang,0.00,0,0.00,0,0.00,0,25.71,19,0.00,1,25.71,20,0.00,0
Wokha,0.00,0,283.77,244,0.00,0,89.54,22,5.92,6,379.23,272,0.00,0
Zunheboto,1.50,3,228.71,176,0.00,0,9.91,9,0.48,3,240.60,191,0.00,0
