district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Dimapur,4792.83,48591,40111,57277,85399,13049,62998,17214,88702,68453
Kiphire,341.59,7971,7578,8113,14077,1580,11979,5837,15549,9718
Kohima,746.96,11190,10149,17719,16810,5827,12314,6418,21339,11914
Longleng,383.79,8789,7831,8787,18194,1041,14442,16492,16620,129
Mokokchung,775.67,15460,15285,17687,27699,4582,18857,10173,30745,19136
Mon,868.22,21451,20205,17425,39854,2408,37144,13206,41656,28459
Peren,408.53,9010,7119,8319,16799,144,12910,16095,16129,35
Phek,981.89,12290,10598,14053,20683,2047,17868,11092,22888,11800
Tuensang,750.19,17748,18312,10409,35013,2247,30947,10111,36060,25951
Wokha,398.27,8802,5430,6480,13081,1256,19834,5174,14232,8153
Zunheboto,325.40,8599,9737,5635,13621,4819,8395,14179,18336,4157
