district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Dimapur,12,113,20,51,14,69,10,30,24,145,64
Kiphire,0,3,0,12,0,12,1,2,0,3,3
Kohima,6,75,2,15,2,21,9,32,2,83,43
Longleng,2,0,0,6,5,11,1,0,0,2,1
Mokokchung,9,31,0,10,5,20,13,12,0,40,25
Mon,4,5,0,5,8,11,4,3,0,9,7
Peren,5,1,0,9,2,11,3,1,0,6,4
Phek,5,4,0,10,6,16,5,3,0,9,8
Tuensang,1,7,0,2,13,15,4,4,0,8,8
Wokha,2,12,0,0,3,5,5,6,0,14,11
Zunheboto,3,5,0,4,3,7,6,3,0,8,9
