district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Dimapur,31612.24,162523.46,95141.78,68.47,51.49,40.92,46169.68,315636.96,232528.53,48.67,289277.48,594335.17
Kiphire,1751.63,8505.28,0.00,154.57,87.91,,1133.23,9675.47,0.00,94.89,10256.91,10808.70
Kohima,11841.32,118269.77,1207.91,53.63,24.73,17.30,22080.53,478310.01,6980.18,25.88,131319.00,507370.72
Longleng,6594.56,0.00,0.00,97.06,,,6794.01,0.00,0.00,97.06,6594.56,6794.01
Mokokchung,13367.46,46240.49,0.00,81.18,78.43,,16465.81,58960.67,0.00,79.03,59607.95,75426.48
Mon,7378.25,13287.48,0.00,93.51,60.58,,7890.16,21932.66,0.00,69.30,20665.73,29822.82
Peren,12110.54,1612.82,0.00,114.21,92.09,,10604.18,1751.38,0.00,111.07,13723.36,12355.56
Phek,8020.36,12115.69,0.00,58.37,48.05,,13740.17,25215.73,0.00,51.69,20136.05,38955.90
Tuensang,4637.85,22639.20,0.00,83.97,117.93,,5522.97,19197.07,0.00,110.34,27277.05,24720.04
Wokha,4448.93,19010.13,0.00,74.63,68.24,,5960.94,27857.12,0.00,69.37,23459.06,33818.06
Zunheboto,7619.76,16548.93,0.00,73.80,115.48,,10324.21,14330.98,0.00,98.03,24168.69,24655.19
