district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Dimapur,1180,175.48,3490118,102356.25,124950653,5772629.70,418262,28063.96,30624585,5742891.22,998288,16355.15
Kiphire,0,0.00,208389,6150.70,0,0.00,26989,1515.77,1,0.05,35933,563.05
Kohima,41,679.26,1558951,39472.13,30355456,1389402.84,150190,7081.98,9904290,1753057.15,535253,7538.29
Longleng,0,0.00,181721,5722.32,0,0.00,18,0.36,21,0.31,25838,321.82
Mokokchung,0,0.00,756065,20314.44,11865980,343700.83,47726,2113.67,4362888,1059353.16,227298,2281.55
Mon,0,0.04,671527,15799.52,0,0.00,13815,726.78,3,0.07,111717,1165.93
Peren,0,0.00,246387,5244.81,0,0.00,11987,677.81,25,0.90,65289,1144.30
Phek,0,0.00,407668,10258.60,0,0.00,48207,2767.38,0,0.00,104297,1285.63
Tuensang,0,0.00,572883,14901.09,0,0.00,31211,1820.96,2,0.11,90464,1000.25
Wokha,0,0.00,595498,13232.75,0,0.00,12627,717.47,0,0.00,127078,1309.17
Zunheboto,0,0.00,364930,9775.07,0,0.00,42725,2031.11,7,0.21,86967,1059.98
