district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,290.03,75,727.63,83,1417.60,425,37.30,3800.45,956
Kiphire,40.09,14,40.09,14,21.62,8,3.43,629.46,283
Kohima,231.57,80,504.56,127,962.36,342,44.46,2164.59,865
Longleng,0.00,0,0.00,0,22.37,16,7.03,318.18,190
Mokokchung,97.77,27,153.06,27,664.82,86,35.40,1877.90,475
Mon,0.00,0,0.00,0,54.89,28,14.90,368.37,181
Peren,0.00,0,0.00,0,186.07,73,43.89,423.96,169
Phek,3.89,1,5.23,1,409.39,137,47.88,855.03,295
Tuensang,0.00,0,0.00,0,42.05,29,9.99,420.81,243
Wokha,23.57,7,60.06,7,89.75,52,30.16,297.55,134
Zunheboto,19.50,15,54.60,15,71.71,48,11.33,632.78,337
