district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Dimapur,167137,57354,1758737,79006,4517
Kiphire,14060,15491,499812,15491,332
Kohima,107574,15323,666450,23727,2264
Longleng,11453,15978,439362,15978,163
Mokokchung,49131,20872,737773,21880,2925
Mon,35945,40216,1174362,40216,203
Peren,16739,16650,343242,16650,1602
Phek,32579,22812,973766,22812,1131
Tuensang,24826,39900,916387,39900,900
Wokha,26376,12070,201283,14225,2313
Zunheboto,18528,13577,317931,14036,873
