district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Dimapur,1715.13,838,153,493.02,135.55,282.02,180,16.19,1741.60,886,367.31,3416,575
Kiphire,65.99,57,13,28.40,19.83,14.86,11,22.52,65.99,58,62.77,985,316
Kohima,203.79,135,37,69.20,64.27,70.25,56,31.25,224.77,159,238.69,2902,550
Longleng,83.15,70,3,7.20,22.31,18.32,18,17.10,107.13,104,37.73,237,134
Mokokchung,520.37,446,49,139.50,32.02,112.53,142,22.10,509.11,471,176.01,2050,468
Mon,166.59,175,40,59.20,18.36,34.88,44,21.19,164.59,174,126.36,1839,532
Peren,32.42,32,8,13.20,6.50,7.71,6,23.78,32.42,32,47.95,567,132
Phek,174.16,171,22,26.40,62.92,62.20,65,35.61,174.66,172,228.14,1986,664
Tuensang,100.92,89,6,25.50,66.82,25.88,32,24.82,104.28,100,172.94,1798,684
Wokha,214.21,150,54,108.74,15.74,9.10,11,3.75,242.69,184,89.83,959,251
Zunheboto,99.24,95,12,25.20,97.02,23.81,31,23.99,99.24,95,155.74,1132,473
