district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Dimapur,383.75,213,1603.13,961,6746.58,3176,51929.13,22900
Kiphire,8.50,1,8.54,1,23.00,3,22.66,3
Kohima,27.98,21,261.44,99,3320.29,1172,24363.11,11024
Longleng,7.00,1,25.91,4,0.00,0,3.57,1
Mokokchung,11.27,3,121.45,27,317.22,128,6717.38,3003
Mon,6.00,3,45.65,14,460.26,77,1587.49,699
Peren,0.00,0,9.69,1,32.00,5,51.90,10
Phek,60.00,6,65.96,9,81.24,11,122.04,18
Tuensang,17.18,4,27.92,6,29.65,5,42.51,9
Wokha,7.72,3,74.46,25,291.33,52,1351.53,1002
Zunheboto,20.89,7,45.09,19,84.81,14,322.77,172
