District,applications_forwarded_to_banks,sanctioned,pending_for_sanction,disbursed,pending_for_disbursement
Adilabad,1138.0,663.0,23.0,628.0,35.0
Bhadradri Kothagudem,2411.0,1111.0,156.0,1062.0,49.0
Hanumakonda,923.0,466.0,26.0,434.0,32.0
Hyderabad,1864.0,896.0,149.0,849.0,47.0
Jagitial,1957.0,1138.0,29.0,1101.0,37.0
Jangoan,982.0,485.0,43.0,451.0,34.0
Jayashankar Bhupalapally,1189.0,688.0,42.0,616.0,72.0
Jogulamba Gadwal,1239.0,420.0,34.0,388.0,32.0
Kamareddy,4109.0,2155.0,88.0,1907.0,248.0
Karimnagar,3915.0,2010.0,231.0,1908.0,102.0
Khammam,3646.0,1497.0,161.0,1445.0,52.0
Kumuram Bheem Asifabad,475.0,310.0,5.0,310.0,0.0
Medak,471.0,261.0,11.0,246.0,15.0
Nalgonda,8175.0,4061.0,335.0,3500.0,561.0
Nirmal,2669.0,1359.0,99.0,1297.0,62.0
Nizamabad,4040.0,1990.0,98.0,1882.0,108.0
Peddapalli,2254.0,1277.0,59.0,1235.0,42.0
Rajanna Sircilla,1152.0,513.0,64.0,493.0,20.0
Ranga Reddy,1614.0,626.0,153.0,591.0,35.0
Sangareddy,1620.0,1031.0,39.0,953.0,78.0
Siddipet,1605.0,796.0,88.0,748.0,48.0
Suryapet,1908.0,1032.0,38.0,992.0,40.0
Wanaparthy,831.0,419.0,33.0,387.0,32.0
Yadadri Bhuvanagiri,2156.0,993.0,116.0,898.0,95.0
