District,upto_q2_during_fy_2025_26_no,approved_amt,cumulative_as_on_30_09_2025_no
Adilabad,1517.0,145.65,13294.0
Bhadradri Kothagudem,565.0,64.65,4066.0
Hanumakonda,1748.0,248.3,15712.0
Hyderabad,20522.0,5341.67,128885.0
Jagitial,439.0,51.98,2755.0
Jangoan,284.0,30.01,1620.0
Jayashankar Bhupalapally,219.0,18.99,1267.0
Jogulamba Gadwal,212.0,23.38,1652.0
Kamareddy,589.0,78.89,3361.0
Karimnagar,2493.0,300.75,17711.0
Khammam,1622.0,182.64,15545.0
Mahabubabad,1806.0,170.13,7144.0
Mahabubnagar,429.0,80.75,14554.0
Mancherial,439.0,38.21,2073.0
Medak,2301.0,257.4,14287.0
Medchal Malkajgiri,558.0,187.34,5255.0
Nagarkurnool,180.0,31.33,1078.0
Nalgonda,2360.0,244.32,22607.0
Nirmal,436.0,55.03,2504.0
Nizamabad,1627.0,223.86,13704.0
Peddapalli,302.0,38.29,1946.0
Rajanna Sircilla,131.0,17.08,1276.0
Ranga Reddy,2296.0,579.31,37801.0
Sangareddy,412.0,98.26,4389.0
Siddipet,466.0,81.67,3868.0
Suryapet,333.0,49.99,3445.0
Vikarabad,299.0,27.82,1800.0
Wanaparthy,114.0,28.84,1063.0
Warangal,583.0,83.43,3673.0
Yadadri Bhuvanagiri,154.0,20.58,2054.0
