District,No. of A/C,Total O/S,Demand Raised,Recovery Amt,%,Overdues Amt,Overdues %,Gross NPA Amt,Gross NPA %
Baksa,33960,16556.25,6851.58,2999.22,44,3852.36,56,4081.97,25
Barpeta,137051,69633.78,22092.16,7907.83,36,14184.33,64,10503.98,15
Biswanath,41341,23110.18,9859.5,4738.97,48,5120.53,52,3870.44,17
Bongaigaon,38793,22902.95,4512.15,1833.19,41,2678.96,59,2856.43,12
Cachar,110205,69247.3,12798.16,3900.06,30,8898.1,70,6279.39,9
Charaideo,26629,13600.5,3638.6,1701.32,47,1937.28,53,1278.08,9
Chirang,20906,11123.35,4162.93,1389.67,33,2773.26,67,2228.27,20
Darrang,66692,37270.43,12590.88,4251.88,34,8339,66,6670.38,18
Dhemaji,43079,22594.25,9229.74,3711.33,40,5518.41,60,4471.79,20
Dhubri,96826,51710.32,10409.33,3378.69,32,7030.64,68,4992.57,10
Dibrugarh,143166,83763,25389.27,8366.35,33,17022.92,67,8940.58,11
Dima Hasao,3875,1677.58,552,231.4,42,320.6,58,169.8,10
Goalpara,47961,24509.11,7202.91,2772.43,38,4430.48,62,5052.23,21
Golaghat,161073,83252.79,23976.97,9015.54,38,14961.43,62,5195.29,6
Hailakandi,28746,14359.52,4503.74,1357.93,30,3145.81,70,2733.26,19
Hojai,32474,20498.85,5848.52,1970.83,34,3877.69,66,3003.55,15
Jorhat,158856,77620.7,16452.11,6709.29,41,9742.82,59,5124.18,7
Kamrup Metro,227191,109623.86,26017.63,8689.67,33,17327.96,67,10551.25,10
Karbi Anglong,33308,13980.85,5446.62,1997.55,37,3449.07,63,1494.88,11
Karimganj,60242,30059.4,4520.5,1850.23,41,2670.27,59,3115.6,10
Kokrajhar,25833,13793.02,5694.39,2374.38,42,3320.01,58,3349.05,24
Lakhimpur,108885,58960.62,20564.23,8045.37,39,12518.86,61,6671.57,11
Majuli,8779,5184.01,1882.99,541.81,29,1341.18,71,1001.46,19
Morigaon,113503,61219.37,10357.94,4188.64,40,6169.3,60,4806.97,8
Nagaon,230775,108820.2,27239.96,8867.49,33,18372.47,67,14259.39,13
Nalbari,82588,34894.88,11820.23,5256.06,44,6564.17,56,5136.91,15
Sivasagar,101735,46124.38,10119.92,3890.66,38,6229.26,62,3531.7,8
Sonitpur,128764,64399.14,10676.22,4374.54,41,6301.68,59,5795.18,9
South Salmara,2649,1860.58,717.58,186.5,26,531.08,74,603.14,32
Tinsukia,96145,71828.32,16139.31,4555.94,28,11583.37,72,5832.86,8
Udalguri,47087,30157.41,15873.85,4061.53,26,11812.32,74,8240.55,27
West Karbi Anglong,16358,7101.22,4338.15,1362.69,31,2975.46,69,614.78,9
