district,Target,Disbursement No,Disbursement Amount,O/S No,O/S Amount
Baksa,760,384,410.3,853,779.51
Barpeta,1267,439,642.18,1756,1431.7
Biswanath,2563,574,680.94,1964,1434.6
Bongaigaon,1859,369,574.63,1124,1170.06
Cachar,1127,222,315.16,1033,624.12
Charaideo,2169,468,732.52,1254,869.64
Chirang,2620,511,717.55,1051,952.71
Darrang,676,217,435.06,1128,912.14
Dhemaji,2704,392,498.99,1807,895.67
Dhubri,1380,153,183.88,478,284.51
Dibrugarh,3127,744,1141.69,1548,1186.48
Dima Hasao,5,20,8.3,224,52.55
Goalpara,704,258,272.18,1159,752.12
Golaghat,3916,996,2062.64,2319,2165.04
Hailakandi,788,164,198.99,784,471.12
Hojai,1042,373,444.32,1552,986.1
Jorhat,3155,907,1819.9,2109,1801.76
Kamrup,4395,896,1149.51,2137,1809.31
Kamrup Metro,1267,358,489.42,800,609.46
Karbi Anglong,5,9,8.21,1327,614.79
Karimganj,1070,168,178.54,818,435.42
Kokrajhar,253,159,160.09,416,249.33
Lakhimpur,3690,653,804.45,2758,1554.03
Majuli,366,158,235.78,606,410.47
Morigaon,2958,470,559.45,2518,1626.78
Nagaon,7522,955,1428.13,3464,2839.66
Nalbari,3381,535,1039.9,2160,2365.97
Sivasagar,2535,710,1041.05,1568,1279.69
Sonitpur,2028,755,1215.62,2355,1957.3
South Salmara,28,36,30.13,50,43.12
Tinsukia,2930,616,1118.88,1790,1490.97
Udalguri,704,232,315.36,1005,849.2
West Karbi Anglong,6,20,19.5,770,334.55
