district,Lending Number of Muslim,Lending Amount of Muslim,Outstanding Number of Muslim,Outstanding Amount of Muslim,Lending Number of Christian,Lending Amount of Chriatian,Outstanding Number of Christian,Outstanding Amount of Christian,Lending Number of Sikh,Lending Amount of Sikh,Outstanding Number of Sikh,Outstanding Amount of Sikh,Lending Number of Budhist,Lending Amount of Budhist,Outstanding Number of Budhist,Outstanding Amount of Budhist,Lending Number of Zoroastrian,Lending Amount of Zoroastrian,Outstanding Number of Zoroastrian,Outstanding Amount of Zoroastrian,Lending Number of Jain,Lending Amount of Jain,Outstanding Number of Jain,Outstanding Amount of Jain,Total Lending No,Total Lending Amt,Total Outstanding No,Total Outstanding Amt
Baksa,1098,973.47,6849,4428.62,65,55.71,349,189.18,1,0.45,3,0.85,1,0.35,2,0.79,0,0,0,0,0,0,17,14.38,1165,1029.98,7220,4633.82
Barpeta,35985,28939.96,108694,78750.29,43,155.88,198,270.32,2,1.37,7,20.66,2,10.13,15,15.61,1,1,3,3.46,3,4,31,74.74,36036,29112.34,108948,79135.08
Biswanath,1292,891.88,7788,4768.64,93,111.53,871,443.25,0,0,4,15.34,0,0,0,0,0,0,5,3.39,1,0.35,10,70.71,1386,1003.76,8678,5301.33
Bongaigaon,11858,11740.77,34080,29515.06,1045,820.75,2319,1099.09,2,3.98,18,44.58,24,19.67,69,41.43,1,0.37,1,1.27,4,45,15,77.97,12934,12630.54,36502,30779.4
Cachar,27434,29007.34,96427,75988.07,1164,1570.36,2832,3204.76,6,37.39,22,101.49,11,20.03,26,39.24,2,0.35,3,0.61,6,22.41,38,333.04,28623,30657.88,99348,79667.21
Charaideo,620,766.44,2807,2086.56,57,47.55,202,86.32,2,4.05,3,1.96,9,9.23,47,55.84,0,0,1,6.71,0,0,11,31.06,688,827.27,3071,2268.45
Chirang,3044,3010.37,8171,6898.02,188,121.72,2614,1741.35,0,0,3,2.91,1,0.35,9,4.05,0,0,4,4.24,0,0,3,8,3233,3132.44,10804,8658.57
Darrang,18773,14644.67,61296,41499.26,98,250.02,302,421.76,2,2.01,9,16.12,3,3,26,27.01,0,0,1,0.51,12,22.3,24,45.23,18888,14922,61658,42009.89
Dhemaji,392,334.25,2352,2525.59,47,81.04,289,250.13,4,3.62,89,416.46,0,0,75,150.26,0,0,3,6.15,7,31.8,529,1570.76,450,450.71,3337,4919.35
Dhubri,34687,33039.36,98653,73060.99,748,434.84,1547,920.67,5,44.76,9,29.41,7,6,19,15.18,1,1.5,2,1.76,9,19.69,40,156.77,35457,33546.15,100270,74184.78
Dibrugarh,4246,4793.08,16779,22379.67,498,926.17,2914,2605.59,69,201.78,416,1959.5,54,119.85,300,295.26,0,0,31,19.71,29,142.44,1235,8814.04,4896,6183.32,21675,36073.77
Dima Hasao,68,222.8,403,628.17,552,1590.71,1600,4137.15,7,10,22,49.95,0,0,5,11.92,0,0,0,0,0,0,0,0,627,1823.51,2030,4827.19
Goalpara,11447,9583.39,38876,28458.48,1564,1095.4,4930,3207.32,4,1.92,7,16.87,5,4,16,8.35,1,1.95,3,2.57,4,39.2,21,72.2,13025,10725.86,43853,31765.79
Golaghat,5775,5470.84,17626,12465.32,614,415.99,3050,1645.13,31,73.48,145,559.41,62,43.17,255,218.23,0,0,23,22.4,2,0.47,91,1707.25,6484,6003.95,21190,16617.74
Hailakandi,6673,7188.02,30723,24958.78,37,73.65,217,247.88,0,0,0,0,1,1,3,2.1,0,0,0,0,0,0,18,54.24,6711,7262.67,30961,25263
Hojai,2432,3023.66,22775,18866.17,25,84.38,249,284.98,8,15.25,33,55.03,0,0,1,2.25,0,0,0,0,1,0.35,14,49.26,2466,3123.64,23072,19257.69
Jorhat,5058,5270.02,15975,13113.33,494,743.27,1603,1617.51,30,72.39,156,489.01,49,51.15,173,482.65,1,0.02,21,22.35,19,50.74,328,2185.59,5651,6187.59,18256,17910.44
Kamrup,35538,24757.18,105372,62230.65,579,426.65,1898,878.26,21,93.28,73,272.26,25,113.87,68,51.82,0,0,2,0.29,9,94.44,23,52.37,36172,25485.42,107436,63485.65
