District,Target,Disbursement No.,Disbursement Amt,O/S No.,O/S Amt
Baksa,356,66,67.27,1097,1400.95
Barpeta,141,31,41.29,1398,1830.39
Biswanath,10,4,2.97,412,474.75
Bongaigaon,60,16,28.16,995,1122.54
Cachar,80,42,60.29,1125,1516.73
Charaideo,67,32,18.76,457,497.06
Chirang,20,10,9.85,1412,1676.36
Darrang,107,15,15.79,1272,1829.22
Dhemaji,174,46,89.33,984,1628.72
Dhubri,376,106,93.89,3592,1482.06
Dibrugarh,168,181,57.52,1415,1783.07
Dima Hasao,40,15,13.62,196,232.9
Goalpara,154,165,27.67,1046,1137.11
Golaghat,80,19,21.02,1080,1493.76
Hailakandi,67,25,19.62,670,862.28
Hojai,80,60,97.27,579,606.6
Jorhat,47,21,55.21,855,1113.85
Kamrup Metro,262,70,97.48,1661,2067.38
Karbi Anglong,20,7,4.98,352,304.85
Karimganj,94,32,26.33,610,709.92
Kokrajhar,80,52,50.88,2152,2702.69
Lakhimpur,67,22,34.48,1046,1495.61
Majuli,60,17,29.9,217,198.61
Morigaon,174,31,54.22,827,1178.49
Nagaon,134,51,102.64,2522,2489.15
Nalbari,240,59,83.34,1335,2122.1
Sivasagar,208,78,109.19,775,1273.74
Sonitpur,275,40,89.46,1463,1872.41
South Salmara,168,60,30.59,481,704.33
Tinsukia,107,20,19,820,1074.29
Udalguri,134,68,33.1,1623,2780.06
West Karbi Anglong,10,0,0,52,51.09
