District,Crop Loan Achievement,Insurance Number (Pmfby),Insurance Amount (Pmfby),Insurance Number (Others),Insurance Amount (Others)
Baksa,550.07,21,4.4989857,0,0
Barpeta,1008.08,182,51.44,0,0
Biswanath,910.26,27,15.71,0,0
Bongaigaon,934.47,34,20.16,0,0
Cachar,1462.45,210,4.2300748,0,0
Charaideo,504.35,2,1.09,0,0
Chirang,406.41,35,19.12,0,0
Darrang,655.78,13,11.41,0,0
Dhemaji,1338.31,112,11.42,0,0
Dhubri,1056.11,155,61.37,0,0
Dibrugarh,1751.27,1,0.34,0,0
Dima Hasao,104.68,0,0,0,0
Goalpara,524.69,29,5.99,0,0
Golaghat,2016.46,10,2.67,0,0
Hailakandi,791.44,118,50.03262,0,0
Hojai,325.16,0,0,0,0
Jorhat,1647.36,0,0,0,0
Kamrup Metro,1945.26,19,11.4,0,0
Karbi Anglong,825.39,0,0,0,0
Karimganj,537.17,28,27.6,0,0
Kokrajhar,337.28,117,64.28,0,0
Lakhimpur,3569.84,60,1.1884345,0,0
Majuli,227.73,0,0,0,0
Morigaon,914.03,177,174.8,0,0
Nagaon,2535.91,34,17.3,0,0
Nalbari,2534.54,45,4.5227009,0,0
Sivasagar,820.87,75,20.9683665,0,0
Sonitpur,1503.99,59,44.7,0,0
South Salmara,109.73,0,0,0,0
Tinsukia,2287.62,8,4.35,0,0
Udalguri,3993.61,20,17.86,0,0
West Karbi Anglong,146.87,0,0,0,0
