District,No. of A/C,Total O/S,Demand Raised,Recovery Amt,%,Overdues Amt,Overdues Pct,Gross NPA Amt,Gross NPA Pct
Baksa,55917,35129.31,13688.74,5248.5,38,8440.24,62,9694.8,28
Barpeta,221010,171279.33,39266.92,14331.27,36,24935.65,64,22717.02,13
Biswanath,62345,51109.95,14578.7,7125.11,49,7453.59,51,6773.39,13
Bongaigaon,87318,88389.51,10048.55,4552.76,45,5495.79,55,6633.14,8
Cachar,232462,230370.81,26898.14,11566.99,43,15331.15,57,16440.01,7
Charaideo,37621,29152.61,6942.75,3159.26,46,3783.49,54,3762.78,13
Chirang,39906,32148.44,8121.83,2580.06,32,5541.77,68,5419.17,17
Darrang,116452,87149.68,21593.1,8598.9,40,12994.2,60,13739.64,16
Dhemaji,78669,59637.6,15052.73,6840.88,45,8211.85,55,7640.15,13
Dhubri,166615,111577.66,18902.6,6460.37,34,12442.23,66,11613.62,10
Dibrugarh,242577,277788.89,45656.51,18748.51,41,26908,59,23091.95,8
Dima Hasao,6151,7887.54,1648.07,1061.06,64,587.01,36,478.1,6
Goalpara,91235,58800.74,15775.97,5275.15,33,10500.82,67,12023.87,20
Golaghat,220998,162623.43,33895.07,14794.07,44,19101,56,11000.33,7
Hailakandi,48849,40911.75,7867.91,3196.79,41,4671.12,59,5130.24,13
Hojai,53635,55122.28,9667.23,3791.78,39,5875.45,61,5994.97,11
Jorhat,244148,236639.7,30903.75,14161.58,46,16742.17,54,14724.98,6
Kamrup Metro,451337,257974.27,50453.83,23465.04,47,26988.79,53,23119.56,9
Karbi Anglong,45532,36779.89,14930.01,9223.24,62,5706.77,38,2537.59,7
Karimganj,121362,86341.73,11278.86,5577.74,49,5701.12,51,7531.8,9
Kokrajhar,37118,37631.54,12375.89,4578.7,37,7797.19,63,8429.9,22
Lakhimpur,174265,133559.74,30751.8,12924.51,42,17827.29,58,13246.21,10
Majuli,12829,11139.3,2837.05,896.76,32,1940.29,68,1785.63,16
Morigaon,147562,100664.96,16130.89,6447.27,40,9683.62,60,9935.53,10
Nagaon,343677,249333.99,43427.71,16288.12,38,27139.59,62,33031.72,13
Nalbari,144784,93505.77,26188.73,11522.39,44,14666.34,56,15029.1,16
Sivasagar,164150,137593.53,19730.11,9357.07,47,10373.04,53,9555.28,7
Sonitpur,241842,194650.91,24010.54,10046.11,42,13964.43,58,16850.43,9
South Salmara,4885,6438.37,2537.31,576.93,23,1960.38,77,2256.91,35
Tinsukia,174022,219503.67,28380.01,9752.4,34,18627.61,66,16194.47,7
Udalguri,68306,57097.4,22158.84,6228.42,28,15930.42,72,13919.05,24
West Karbi Anglong,17729,12697.85,7213.83,3668.15,51,3545.68,49,752.16,6
