district,Urban Number,Urban Amount,Semi Urban Number,Semi Urban Amount,Rural Number,Rural Amount,Total Number,Total Amount
Baksa,0,0,41,166.02,988,7126.68,1029,7292.7
Barpeta,30,43.63,1836,18255.57,1567,13841.63,3433,32140.83
Biswanath,0,0,935,9020.12,640,5374.7,1575,14394.82
Bongaigaon,2,82,1843,17845.45,294,2544,2139,20471.45
Cachar,2797,22035.92,279,3246.33,596,5283.17,3672,30565.42
Charaideo,0,0,350,2635.89,159,1266.43,509,3902.32
Chirang,0,0,88,903.99,483,5009.79,571,5913.78
Darrang,4,45.23,1282,11104.42,379,2717.87,1665,13867.52
Dhemaji,17,17.84,1100,9887.27,588,5179.32,1705,15084.43
Dhubri,0,0,1533,11489.31,528,4210.9,2061,15700.21
Dibrugarh,3094,33070.87,1067,10952.35,1369,13349.95,5530,57373.17
Dima Hasao,0,0,193,2321.72,56,682.48,249,3004.2
Goalpara,15,3.07,671,6065.49,365,2681.19,1051,8749.75
Golaghat,20,17.26,1769,16083.64,756,6863.2,2545,22964.1
Hailakandi,0,0,1175,9060.59,68,446.89,1243,9507.48
Hojai,0,0,915,8723.56,137,1107.89,1052,9831.45
Jorhat,664,6223.64,3289,31363.85,983,8688.12,4936,46275.61
Kamrup,919,1740.47,1271,9115.96,2454,19788.89,4644,30645.32
Kamrup Metro,23843,322662.93,1078,14143.98,481,5129.98,25402,341936.89
Karbi Anglong,0,0,609,7491.01,516,6446.02,1125,13937.03
Karimganj,9,6.9,888,6599.14,297,2208.14,1194,8814.18
Kokrajhar,0,0,903,8004.99,271,2961.9,1174,10966.89
Lakhimpur,15,15.84,2089,19320,1134,9509.42,3238,28845.26
Majuli,0,0,209,1727.29,126,1086.52,335,2813.81
Morigaon,0,0,1204,5790.87,582,4460.32,1786,10251.19
Nagaon,2191,19641.83,846,8122.55,1472,13032.19,4509,40796.57
Nalbari,0,0,1919,15124.23,1197,6557.41,3116,21681.64
Sivasagar,18,89.73,2201,18987.99,670,5928.35,2889,25006.07
Sonitpur,77,292.43,2938,27180.15,1178,9284.21,4193,36756.79
South Salmara,0,0,96,1016.83,112,916.43,208,1933.26
Tinsukia,1830,19872.91,703,7108.95,777,7724.01,3310,34705.87
Udalguri,0,0,1135,11080.85,278,2207.72,1413,13288.57
West Karbi Anglong,0,0,0,0,417,4904.52,417,4904.52
