district,CropProduction,WaterResources,Farm,Plantation,Animal Husbandry,Fishery,Agri Others,Agri Infrastructure,Anciliary Activities,Agri Total,MSME Term,MSME Working,MSME Total,Export Credit,Education,Housing,Service Others,Social Infra,Services Total,Total Achievement
Baksa,2855.78,4.33,166.5,3.59,1077.02,63.26,361.83,3.5,1071.24,5607.05,1577.73,2464.23,4041.96,0,11.24,533.11,11.78,0,556.13,10205.14
Barpeta,7362.36,349.98,620.41,48.12,7554.74,2109.57,9955.51,576.79,861.41,29438.89,20067.29,4536.2,24603.49,11.94,174.79,2265.65,238.81,53.11,2744.3,56786.68000000001
Biswanath,3190.22,6.29,58.18,26.27,1250.29,79.15,315.79,2.72,365.78,5294.69,1523.27,1298.78,2822.05,0,51.8,633.63,33.96,0,719.39,8836.13
Bongaigaon,2970.15,18.9,436.44,2.8,1557.01,201,2793.96,349.87,925.04,9255.17,13905.08,2995.86,16900.94,0,167.31,1525.84,143.69,593.39,2430.23,28586.34
Cachar,4860.52,133.85,1212.24,40.54,4005.4,2301.21,9351.47,397.06,2188.1,24490.39,42724.17,5120.78,47844.95,0,519.85,2480.24,138.76,1.1,3139.95,75475.29
Charaideo,873.53,101.12,665.71,7.05,1339.57,14.44,2325.5,569.9,343.49,6240.31,2604.37,825.18,3429.55,0,44.35,340.25,26.25,427.87,838.72,10508.58
Chirang,2155.77,5.98,248.76,20.22,529.98,48.01,350.3,1447.3,352.25,5158.57,4612.22,727.27,5339.49,0,46.69,549.18,6.43,0,602.3,11100.359999999999
Darrang,2363.01,42.17,240.2,4.66,4442.57,245.89,3451.17,140.58,1410.55,12340.8,10118,2628.43,12746.43,0,213.94,1021.78,124.7,301.73,1662.15,26749.38
Dhemaji,2881.82,13.11,83.98,7.55,2238.26,104.94,850.22,75.62,389.46,6644.96,6154.21,1557.69,7711.9,0,63.64,1456.46,244.29,122.37,1886.76,16243.62
Dhubri,4481.77,313.02,1103.59,20.86,4565.74,283.89,12248.33,3926,1300.46,28243.66,20596.79,2148,22744.79,0,69.92,1279.86,70.77,0,1420.55,52409
Dibrugarh,5146.35,183.95,2111.11,129.58,5947.46,299.79,8035.96,600.65,6096.32,28551.17,23965.59,15497.36,39462.95,1.46,579.44,3792.5,174.14,977.33,5524.87,73538.98999999999
Dima Hasao,90.17,0,3.5,0,32.39,0,17,0,17.39,160.45,648.47,316.68,965.15,0,25.81,194.46,15,0.2,235.47,1361.07
Goalpara,3580.81,10.24,239.29,167.28,2685.22,234.5,1673.16,313.22,367.54,9271.26,7683.19,1434.15,9117.34,0,38.36,680.41,62.13,0,780.9,19169.5
Golaghat,6371.21,425.17,3381.47,24.15,5056.16,374.61,12738.59,2053.97,1445.84,31871.17,13711.9,2917.7,16629.6,9.98,129.41,1348.99,227.16,255.52,1971.06,50471.829999999994
Hailakandi,1519.37,11.44,197.91,49.23,610.32,30.12,1677.28,18.8,414.85,4529.32,5174.32,1129.45,6303.77,0,33.89,535.91,1.77,0,571.57,11404.66
Hojai,1614.38,4.95,37.24,1.55,564.97,32.01,103.91,0.15,856.8,3215.96,2839,1666.96,4505.96,0,90.48,785.9,12.83,0,889.21,8611.130000000001
Jorhat,4045.82,233.11,1359.08,147.7,9844.3,432.95,9307.44,2120.02,4053.69,31544.11,21746.12,8679.98,30426.1,10.71,497.91,3665.73,1436.35,261.74,5872.44,67842.65
Kamrup,14682.16,16.76,248.72,12.27,9133.6,1613.8,8048.35,125.1,561.49,34442.25,46867.45,4640.81,51508.26,0,697.4,3096.37,3086.34,195.87,7075.98,93026.49
Kamrup Metro,7385.84,11.58,110.6,16.73,1795.98,163.25,2997.47,856.27,8897.66,22235.38,180921.9,69110.92,250032.82,0,3557.34,19726.56,7961.65,1208.6,32454.15,304722.35000000003
Karbi Anglong,2383.23,4.1,58.64,68.04,700.94,19.59,240.46,1.69,82.66,3559.35,1769.14,672.75,2441.89,0,41.06,418.64,155.31,0,615.01,6616.25
Karimganj,1396.15,17.12,1827.11,2.7,1572.84,441.93,5844.28,271.65,1685.99,13059.77,16812.54,4340.97,21153.51,0,72.78,368.51,94.55,0,535.84,34749.119999999995
Kokrajhar,1977.67,6.33,225.09,2.72,180.41,13.43,78.57,4.47,131.24,2619.93,515.61,1774.74,2290.35,0,40.35,907.24,4.32,686.87,1638.78,6549.0599999999995
Lakhimpur,8851.56,24.76,295.27,3.36,8521.02,575.39,4544.91,251.9,720.28,23788.45,11632.34,3923.62,15555.96,0,133.36,4378.13,183.85,296.35,4991.69,44336.100000000006
Majuli,380.97,9.63,69.66,4.94,349.91,22.2,78.38,0,33.89,949.58,437.31,160.37,597.68,0,4.85,671.12,1.82,356.55,1034.34,2581.6
Morigaon,4617.7,144.55,472.69,55.51,4818,1985.02,13783.22,1040.6,1506.49,28423.78,7730.24,1973.37,9703.61,0,106.77,1836.89,4.73,0,1948.39,40075.78
Nagaon,5149.15,246.68,1510.93,39.44,11908.53,2499.25,21093.57,1533.29,1651.8,45632.64,29996.08,5364.6,35360.68,0,179.92,3123.12,753.59,200.02,4256.65,85249.97
Nalbari,1286.98,24.69,337.42,22.76,3197.31,900.24,2999.42,101.36,279.89,9150.07,10235.64,2651.42,12887.06,0,224.82,1746.17,235.08,306.52,2512.59,24549.719999999998
Sivasagar,3886.01,936.15,2330.33,331.33,7444.06,534.89,6720.55,150.9,1709.86,24044.08,14992.34,5306.96,20299.3,18.12,150.45,2279.63,235.27,297.3,2980.77,47324.15
Sonitpur,4160.29,132.76,1918.36,25.28,8574.59,607.75,7591.28,1394.5,1146.58,25551.39,28228.3,5996.15,34224.45,0,229.02,4235.64,887.51,1214.94,6567.11,66342.95
South Salmara,624.04,21.59,250.62,2.47,74.38,5.41,5.74,0,162.74,1146.99,280.53,136.55,417.08,0,2.69,341.58,34.38,0,378.65,1942.7199999999998
Tinsukia,5027.87,57.67,1508.94,184.94,4079.74,233.22,6524.99,260.81,5589.35,23467.53,28337.91,11205.85,39543.76,0,316.53,2194.82,242.17,851.71,3605.23,66616.52
Udalguri,2135.16,9.41,165.17,31.12,1047.58,52.47,72.05,10.74,35.13,3558.83,1482.12,633.94,2116.06,0,77.29,668.2,13.84,0,759.33,6434.219999999999
West Karbi Anglong,386.29,0,0,0,68.19,0.9,1.91,0,18.31,475.6,93.27,20.51,113.78,0,13.55,80.91,0,0,94.46,683.84
