district,CY.SISHU NO,CY.SISHU AMT,SISHU O/S no,SISHU O/S Amount,CY.KISHORE NO,CY.KISHORE AMT,KISHORE O/S no,KISHORE O/S Amount,CY.TARUN NO,CY.TARUN AMT,TARUN O/S no,TARUN O/S Amount,TOTAL SANCTIONED AC,TOTAL SANCTIONED AMT,TOTAL O/S AC,TOTAL O/S AMT
Baksa,98,32.41,4457,1764.09,162,256.12,2962,4812.15,22,136.6,139,731.43,282,425.13,7558,7307.67
Barpeta,5971,1785.56,40742,11662.97,1488,2239.16,21088,18740.07,210,1359.73,705,4297.94,7669,5384.45,62535,34700.98
Biswanath,97,32.35,4534,1591.28,189,379.77,1992,3100.74,30,234.06,113,758.3,316,646.18,6639,5450.32
Bongaigaon,2483,719.42,17708,4525.55,453,771.5,8181,6732.24,169,1049.51,376,2208.22,3105,2540.43,26265,13466.01
Cachar,3934,1086.31,34461,9798.71,1938,3106.93,19454,16773.28,191,1344.27,627,4070.18,6063,5537.51,54542,30642.17
Charaideo,366,113.32,2234,779.92,428,673.97,1312,1920.81,79,603.64,77,552.19,873,1390.93,3623,3252.92
Chirang,94,47.58,4408,1412.84,149,208.54,3780,4100.85,17,125.52,109,603.14,260,381.64,8297,6116.83
Darrang,1819,542.64,18635,5455.39,651,1195.05,10153,10160.1,60,454.61,422,2484.08,2530,2192.3,29210,18099.57
Dhemaji,1245,402.74,9753,2993.67,394,775.14,4257,5689.51,66,521.64,289,1923.19,1705,1699.52,14299,10606.37
Dhubri,1262,431.82,25744,7344.36,829,1070.51,17365,12569.15,83,597.05,304,1900.15,2174,2099.38,43413,21813.66
Dibrugarh,6503,1871.08,40225,10417.84,1356,2329.06,16873,15358.61,721,4499.08,1684,10393.17,8580,8699.22,58782,36169.62
Dima Hasao,210,62.97,5055,1596.21,69,120.12,3052,2003.21,11,84.18,37,261.66,290,267.27,8144,3861.08
Goalpara,4876,1269.76,13954,3851.7,390,619.67,6461,7688.02,37,299.45,403,2570.88,5303,2188.88,20818,14110.6
Golaghat,6876,1947.48,31974,8356.98,894,1314.69,15092,11615.41,119,742.6,397,2477.17,7889,4004.77,47463,22449.56
Hailakandi,381,129.81,6513,2120.88,443,718.89,5472,4958.66,32,215.78,149,878.53,856,1064.48,12134,7958.07
Hojai,619,242.96,2805,999.65,545,1053.26,2794,4780.1,101,802.45,320,2259.16,1265,2098.67,5919,8038.91
Jorhat,10589,3313,48992,11561.6,1433,2102.35,17549,14471.47,220,1544.42,730,4874.29,12242,6959.77,67271,30907.36
Kamrup Metro,35401,11162.01,119948,27391.25,5031,4590.06,28347,24583.09,196,1311.04,1034,6053.82,40628,17063.11,149329,58028.16
Karbi Anglong,1287,357.53,2478,1366.68,250,490.1,760,1861.72,69,540.57,116,814.64,1606,1388.2,3354,4043.04
Karimganj,3990,1124.74,23048,6474.19,804,1326.5,13062,10294.42,85,725.67,313,2012.49,4879,3176.91,36423,18781.1
Kokrajhar,205,73.99,3439,1490.5,161,222.49,2752,4178.6,14,116.79,162,932.95,380,413.27,6353,6602.05
Lakhimpur,818,1075.47,15687,5558.96,995,1528.45,10427,10974.03,100,794.65,481,3054.56,1913,3398.57,26595,19587.55
Majuli,126,38.83,560,220.74,77,189.69,580,931.34,17,132.58,43,232.31,220,361.1,1183,1384.39
Morigaon,676,229.72,21816,6246.1,577,1007.01,16988,12359.27,89,601.48,371,2175.43,1342,1838.21,39175,20780.8
Nagaon,11856,3430.19,65125,15914.81,1568,2465.88,34050,28750.81,199,1332.12,1117,7521.57,13623,7228.19,100292,52187.19
Nalbari,6864,2284.21,30280,7751.17,850,1144.4,10998,10549.55,67,537.06,324,2151.77,7781,3965.67,41602,20452.49
Sivasagar,998,405.37,21571,6100.33,1126,1486.14,12317,9848.38,170,1106.23,588,3803.83,2294,2997.74,34476,19752.54
Sonitpur,7765,2356.58,46359,12071.42,1521,2397.37,21301,18014.47,298,1780.36,809,5140.16,9584,6534.31,68469,35226.05
South Salmara,3,0.7,148,60.65,13,34.34,635,1269.75,8,55.93,13,90.59,24,90.97,796,1420.99
Tinsukia,1387,405.6,22572,6207.26,1399,2666.61,12322,13534.74,441,2672.72,1032,6364.5,3227,5744.93,35926,26106.5
Udalguri,113,42.74,5131,2343.26,297,460.16,2933,4948.58,25,190.56,84,460.56,435,693.46,8148,7752.4
West Karbi Anglong,4,1.5,317,173.56,44,62.08,119,227.57,8,62.8,14,106.28,56,126.38,450,507.41
