district,PMJDY No,PMJDY Cumml No,PMJJBY No,PMJJBY Cumml No,PMSBY No.,PMSBY Cumml No.,APY No,APY Cumml No
Baksa,29489,393501,2869,8789,5079,22567,748,3714
Barpeta,76381,1095906,3602,19315,15303,166689,3392,17390
Biswanath,11134,302905,1925,11695,3343,31612,855,9096
Bongaigaon,24476,344096,2076,25750,7346,107217,1441,6236
Cachar,43976,817695,4680,56977,13351,165465,1993,16775
Charaideo,53624,209195,767,6217,3732,17249,277,4066
Chirang,21949,273256,2398,9037,4938,21608,365,2617
Darrang,33218,569633,3420,38842,9730,103373,1325,8051
Dhemaji,26778,600205,3369,31721,16209,84356,1412,9966
Dhubri,80271,1032870,3329,34948,27064,145363,1794,10530
Dibrugarh,19522,534058,10071,72611,20546,147449,2939,21025
Dima Hasao,1893,42794,132,18788,242,52661,162,4581
Goalpara,29940,510648,2102,38457,9638,86242,1263,7118
Golaghat,27793,578975,5397,49971,17920,122026,1542,13320
Hailakandi,24544,415166,2233,37048,9052,89348,944,6288
Hojai,246351,523278,897,8843,6783,36261,804,5304
Jorhat,24038,391441,2747,43338,14315,143352,1847,15872
Kamrup Metro,58349,702973,4246,93546,13357,227461,3415,27187
Karbi Anglong,7924,109962,522,46033,953,107042,863,18624
Karimganj,34895,624990,1637,35434,8261,86305,1336,8452
Kokrajhar,20849,447169,1653,28001,4909,67449,651,4642
Lakhimpur,25538,656270,3917,31201,17660,115997,2110,14010
Majuli,25799,111645,66,1297,1114,9694,74,1071
Morigaon,27259,622643,1811,38134,8854,103885,1046,9109
Nagaon,76591,1413378,3127,61535,22249,163839,2787,22320
Nalbari,19147,356457,8390,40980,5413,96330,1379,9789
Sivasagar,17219,320581,4773,56039,15833,117146,1252,12279
Sonitpur,29929,505932,4584,47827,12814,133543,2031,14308
South Salmara,100960,148581,159,206,11,1005,28,155
Tinsukia,32921,603049,6077,46919,12902,124306,2059,15121
Udalguri,27947,484323,2474,9468,4577,19277,498,2194
West Karbi Anglong,57304,97149,31,6844,123,15815,973,7140
