District,Current Year Number of Cards issued,Current Year Limit Sanctioned,O/S Position Number of Cards issued,O/S Position Limit Sanctioned
Baksa,2969,1161.52,18625,8535.09
Barpeta,12276,4901.86,60767,29057.62
Biswanath,4411,2938.01,23739,13498.45
Bongaigaon,2804,1157.52,18362,8350.7
Cachar,6154,2586.18,51019,28767.76
Charaideo,1242,556.5,11369,6179.54
Chirang,1777,1065.23,11195,5624.22
Darrang,7443,2693.96,36117,16500.66
Dhemaji,3846,1780.74,24146,13600.57
Dhubri,2362,1336.82,32654,17951.83
Dibrugarh,10390,4174.4,70309,35135.95
Dima Hasao,8,2,1967,597.84
Goalpara,2317,1000,23565,10015.41
Golaghat,11751,5821.95,67271,32164.17
Hailakandi,3277,1186.63,17953,8570.68
Hojai,2118,1125.07,22779,13951.51
Jorhat,7060,2890.96,47007,21498.24
Kamrup Metro,13052,5216.46,73566,34226.93
Karbi Anglong,1827,1362.36,25826,9927.09
Karimganj,4051,1533.91,27069,12895.08
Kokrajhar,5381,3596,20280,9474.25
Lakhimpur,12972,5977.5,60499,31859.25
Majuli,715,259.15,4234,1973.16
Morigaon,4826,2092.02,40036,20505.79
Nagaon,17341,6248.38,90893,42933.32
Nalbari,9273,2795.75,38306,13848.36
Sivasagar,6882,2558.74,35504,14894.07
Sonitpur,6190,3079.96,31674,16828.14
South Salmara,476,143.03,2256,740.66
Tinsukia,12319,6407.67,55084,31938.68
Udalguri,2721,1598.94,29253,17713.95
West Karbi Anglong,292,211.08,13285,5258.61
