district,Total Advance,Overall CD Ratio,cd_ratio_as_on_sept,cd_ratio_as_on_september_2022_deposit
Alipurduar,3542.8,52.37,46.1,6764.68
Bankura,8057.0,50.21,46.13,16047.0
Birbhum,8296.49,44.46,40.41,18662.56
Cooch Behar,8138.39,79.39,72.01,10251.67
Dakshin Dinajpur,3348.7,64.13,61.02,5221.53
Darjeeling,13663.99,61.02,57.82,22392.9
Hooghly,22086.61,40.93,31.61,53958.89
Howrah,22722.35,45.59,42.12,49845.82
Jalpaiguri,7535.12,65.48,46.77,11508.29
Jhargram,1860.56,41.11,40.02,4526.03
Kalimpong,867.11,45.64,40.09,1899.75
Kolkata,266831.59,62.51,60.01,426846.43
Malda,7828.76,58.93,56.54,13284.44
Murshidabad,11291.19,47.44,42.83,23801.69
Nadia,15252.56,49.81,49.75,30621.5
Paschim Bardhaman,21100.18,44.98,41.66,46906.7
Paschim Medinipur,12751.71,46.85,44.61,27217.17
Purba Bardhaman,14836.44,52.96,47.82,28012.34
Purba Medinipur,14209.46,46.93,44.55,30278.26
Purulia,4033.84,48.78,47.67,8269.58
Uttar Dinajpur,5131.26,60.05,61.63,8544.69
