district,amount,kcc_disbursement_during_01_04_2022_to_30_09_2022_fresh_renewal_no,kcc_outstanding_as_on_30_09_2022_no,of_achievement_no,target_no
Alipurduar,180.85,4062.0,26625.0,10.55,38500.0
Bankura,827.2,92237.0,170312.0,46.58,198000.0
Birbhum,838.33,68829.0,241678.0,28.68,240000.0
Cooch Behar,1462.72,36380.0,200936.0,19.15,190000.0
Dakshin Dinajpur,490.25,48384.0,106666.0,42.07,115000.0
Darjeeling,160.3,5825.0,23768.0,31.49,18500.0
Hooghly,1390.34,130732.0,339963.0,33.1,395000.0
Howrah,473.62,29314.0,71699.0,30.86,95000.0
Jalpaiguri,910.67,24420.0,101559.0,61.05,40000.0
Jhargram,298.98,17212.0,70948.0,31.29,55000.0
Kalimpong,50.05,850.0,9042.0,8.5,10000.0
Kolkata,21.82,904.0,434.0,,0.0
Malda,508.27,53120.0,120484.0,48.29,110000.0
Murshidabad,647.95,53223.0,127015.0,56.02,95000.0
Nadia,1304.12,47850.0,205124.0,43.5,110000.0
North 24 Parganas,1378.01,85256.0,307816.0,37.07,230000.0
Paschim Bardhaman,236.84,11887.0,14476.0,47.55,25000.0
Paschim Medinipur,2181.67,178514.0,436763.0,72.86,245000.0
Purba Bardhaman,2453.42,137920.0,514852.0,49.26,280000.0
Purba Medinipur,1598.91,379179.0,496190.0,50.56,750000.0
Purulia,295.16,21866.0,114832.0,62.47,35000.0
South 24 Parganas,1197.27,86042.0,301064.0,50.61,170000.0
Uttar Dinajpur,1019.18,19236.0,308615.0,34.97,55000.0
