district,sum_of_cummulat_ive_already_availed_loan_for_same_purpose,sum_of_cummulat_ive_already_having_kcc_with_some_other,sum_of_cummulat_ive_any_other_reason,sum_of_cummulat_ive_applicant_in_default_npa,sum_of_cummulat_ive_applicatio_n_for_vending,sum_of_cummulat_ive_appplican_t_i_not_tracable_ii_unwilling,sum_of_cummulat_ive_farmers_do_not_have_vessel,sum_of_cummulat_ive_no_of_applicatio_ns_accepted,sum_of_cummulat_ive_no_of_applicatio_ns_received,sum_of_cummulat_ive_no_of_applicatio_ns_sanctione_d,sum_of_cummulat_ive_not_having_permissio_n_licence_for_pond_rese,sum_of_cummulat_ive_second_applicatio_n_submitted_for,sum_of_cummulat_ive_wrong_incomplet_e_informati_on,sum_of_pendency_more_than_15_days
Alipurduar,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0
Bankura,0.0,0.0,0.0,1.0,0.0,0.0,0.0,141.0,141.0,140.0,0.0,0.0,0.0,0.0
Birbhum,0.0,5.0,0.0,176.0,0.0,0.0,0.0,476.0,476.0,295.0,0.0,0.0,0.0,0.0
Dakshin Dinajpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalpaiguri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,34.0,0.0,0.0,1.0,0.0
Jhargram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalimpong,0.0,12.0,0.0,22.0,0.0,0.0,0.0,124.0,124.0,44.0,46.0,0.0,0.0,0.0
Kolkata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Murshidabad,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nadia,0.0,6.0,7.0,7.0,5.0,6.0,0.0,66.0,75.0,35.0,0.0,0.0,0.0,0.0
Paschim Medinipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purba Medinipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Dinajpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
