district,amount,average_disbursement_amount_in_lakh,disbursement_no,of_achievement_no,outstanding_no,sanctioned_no,target_2022_23_no
Alipurduar,50.04,1.54,10947.0,87.49,20744.0,8323.0,12512.0
Bankura,44.24,1.73,22111.0,70.06,50090.0,14295.0,31562.0
Birbhum,37.84,2.21,23395.0,45.43,61454.0,17449.0,51497.0
Cooch Behar,52.16,1.35,30604.0,109.45,50371.0,16047.0,27961.0
Dakshin Dinajpur,36.56,1.1,13827.0,91.08,22388.0,5701.0,15181.0
Darjeeling,59.28,1.87,3898.0,82.71,6183.0,1999.0,4713.0
Hooghly,55.91,1.74,24562.0,80.21,41425.0,11069.0,30623.0
Howrah,47.76,1.99,17163.0,68.16,33550.0,9373.0,25181.0
Jalpaiguri,57.75,1.68,18486.0,97.6,34423.0,10505.0,18941.0
Jhargram,44.77,1.76,8398.0,69.81,16066.0,8036.0,12029.0
Kalimpong,60.44,2.21,1889.0,72.71,3028.0,1129.0,2598.0
Kolkata,100.0,1.11,587.0,100.0,1945.0,0.0,0.0
Malda,45.53,1.27,29451.0,97.59,52316.0,11311.0,30177.0
Murshidabad,55.3,1.27,39890.0,105.67,76517.0,18658.0,37750.0
Nadia,39.84,1.26,24530.0,90.98,47338.0,10044.0,26962.0
North 24 Parganas,48.32,1.34,36345.0,93.41,59815.0,16519.0,38911.0
Paschim Bardhaman,40.25,2.13,4195.0,39.21,9939.0,3161.0,10699.0
Paschim Medinipur,62.06,2.0,31037.0,84.62,56705.0,18484.0,36679.0
Purba Bardhaman,27.08,2.36,19124.0,44.48,51550.0,20145.0,42991.0
Purba Medinipur,77.5,2.68,41149.0,91.07,72413.0,20024.0,45183.0
Purulia,31.23,1.26,13436.0,58.88,34487.0,8562.0,22821.0
South 24 Parganas,66.61,1.57,43609.0,108.65,73337.0,14999.0,40136.0
Uttar Dinajpur,58.35,1.18,20091.0,164.51,34184.0,6805.0,12213.0
