district,as_on_30_09_2021,as_on_30_09_2022
Alipurduar,46.1,52.37
Bankura,46.13,
Birbhum,40.41,
Cooch Behar,72.01,
Dakshin Dinajpur,61.02,
Darjeeling,57.82,
Hooghly,31.61,
Howrah,42.12,
Jalpaiguri,46.77,
Jhargram,40.02,
Kalimpong,40.09,
Kolkata,60.01,62.51
Malda,56.54,58.93
Murshidabad,42.83,47.44
Nadia,49.75,49.81
North 24 Parganas,39.7,40.43
Paschim Bardhaman,41.66,44.98
Paschim Medinipur,44.61,46.85
Purba Bardhaman,47.82,52.96
Purba Medinipur,44.55,46.93
Purulia,47.67,48.78
South 24 Parganas,44.74,45.32
Uttar Dinajpur,61.63,60.05
