district,aadhaar_seeded,female_a_c,male_a_c,rupaycard_issued,rural_a_c,total_a_c,total_deposit,urban_a_c,zero_balance_a_c_s
Alipurduar,208509.0,135460.0,103998.0,188408.0,165053.0,239458.0,79.72,74405.0,25446.0
Bankura,1742025.0,1173659.0,934799.0,1180601.0,1846039.0,2108458.0,979.03,262419.0,115556.0
Birbhum,1785745.0,1255315.0,926887.0,1310251.0,1755210.0,2182202.0,752.08,426992.0,142608.0
Cooch Behar,1254505.0,837621.0,653838.0,1155956.0,1056633.0,1491459.0,344.82,434826.0,88597.0
Dakshin Dinajpur,910657.0,635814.0,476387.0,626733.0,919602.0,1112201.0,312.78,192599.0,71884.0
Hooghly,1910677.0,1312886.0,906622.0,1371479.0,1516262.0,2219508.0,974.26,703246.0,102472.0
Howrah,1612119.0,1121632.0,780025.0,1247596.0,1254102.0,1901657.0,790.36,647555.0,91727.0
Jalpaiguri,1450544.0,986267.0,728695.0,1302015.0,1117998.0,1714962.0,643.6,596964.0,102639.0
Kolkata,629049.0,439963.0,356922.0,579327.0,6429.0,796885.0,320.21,790456.0,75999.0
Malda,2586108.0,1753158.0,1282799.0,1532243.0,2608627.0,3035957.0,916.35,427330.0,270029.0
Murshidabad,3431255.0,2348522.0,1759044.0,2703068.0,2981945.0,4107566.0,1179.99,1125621.0,269282.0
Nadia,2317110.0,1652415.0,1217148.0,1818928.0,1934790.0,2869563.0,1019.79,934773.0,196339.0
North 24 Parganas,3401860.0,2366481.0,1692423.0,2688644.0,2363998.0,4058904.0,1687.41,1694906.0,208142.0
Paschim Medinipur,2380297.0,1638756.0,1210036.0,1621078.0,2417192.0,2848792.0,1263.99,431600.0,134311.0
Purba Bardhaman,2818836.0,2142287.0,1300957.0,2161829.0,2382079.0,3443244.0,1117.85,1061165.0,170369.0
Purba Medinipur,2101454.0,1405957.0,1103308.0,1482314.0,2300567.0,2509265.0,1179.95,208698.0,106943.0
Purulia,1570716.0,1032547.0,849823.0,1084961.0,1585628.0,1882370.0,847.67,296742.0,142042.0
South 24 Parganas,3912009.0,2696081.0,1992610.0,2838412.0,3908462.0,4688691.0,1733.44,780229.0,326268.0
Uttar Dinajpur,1979123.0,1396554.0,1085574.0,1242436.0,1955609.0,2482128.0,537.48,526519.0,230621.0
