district,disb_amt,kishore_no,sanc_amt,shishu_no,tarun_no,total_no
Alipurduar,214.88,6093.0,218.85,46852.0,604.0,53549.0
Bankura,264.59,5110.0,279.29,29173.0,1265.0,35548.0
Birbhum,458.14,12336.0,471.38,43397.0,1236.0,56969.0
Cooch Behar,224.65,5572.0,241.31,26025.0,1374.0,32971.0
Dakshin Dinajpur,239.25,8741.0,246.34,44186.0,528.0,53455.0
Hooghly,599.58,15003.0,624.66,65386.0,2454.0,82843.0
Howrah,500.72,13035.0,515.85,45500.0,1649.0,60184.0
Jalpaiguri,487.4,15674.0,514.42,81073.0,1744.0,98491.0
Jhargram,88.3,2622.0,96.55,7969.0,462.0,11053.0
Kalimpong,4.7,81.0,4.86,233.0,29.0,343.0
Kolkata,871.8,15508.0,902.89,62449.0,4027.0,81984.0
Malda,467.6,13386.0,485.11,76566.0,1192.0,91144.0
Murshidabad,931.22,29205.0,975.93,149705.0,2727.0,181637.0
Nadia,564.08,13331.0,596.87,78806.0,2211.0,94348.0
North 24 Parganas,927.19,24258.0,978.88,103258.0,3812.0,131328.0
Paschim Medinipur,652.93,14202.0,703.99,64044.0,3824.0,82070.0
Purba Bardhaman,500.99,12982.0,517.73,55596.0,1708.0,70286.0
Purba Medinipur,682.2,17040.0,769.0,68195.0,4015.0,89250.0
South 24 Parganas,615.21,17479.0,647.08,67672.0,2475.0,87626.0
Uttar Dinajpur,263.99,6694.0,276.52,42927.0,969.0,50590.0
