district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy_fy_22_23,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_shg_loan_to_be_disbursed_fy_22_24,target_fy_22_23
Alipurduar,0.76,552.0,25.0,68.0,44.0,54.0,2.25,150.0
Bankura,1.24,2425.0,0.0,95.0,72.0,171.0,4.32,289.0
Birbhum,6.18,3612.0,310.0,746.0,360.0,316.0,14.84,978.0
Cooch Behar,2.8,1641.0,5.0,172.0,163.0,157.0,4.35,446.0
Dakshin Dinajpur,2.03,1832.0,5.0,92.0,118.0,181.0,4.86,263.0
Darjeeling,2.78,2306.0,79.0,244.0,162.0,164.0,7.48,498.0
Hooghly,7.82,6041.0,341.0,798.0,455.0,381.0,18.89,1272.0
Howrah,1.17,1449.0,46.0,138.0,68.0,67.0,8.64,586.0
Jalpaiguri,0.69,1575.0,80.0,170.0,40.0,41.0,3.99,266.0
Jhargram,0.29,486.0,0.0,13.0,17.0,18.0,1.2,80.0
Kalimpong,0.15,178.0,0.0,13.0,9.0,10.0,1.04,70.0
Kolkata,1.19,968.0,202.0,269.0,69.0,80.0,3.0,250.0
Malda,0.65,818.0,82.0,119.0,38.0,39.0,2.9,193.0
Murshidabad,6.25,5547.0,120.0,630.0,364.0,358.0,16.86,1185.0
Nadia,6.75,5842.0,133.0,577.0,393.0,413.0,16.44,1094.0
North 24 Parganas,18.45,15663.0,434.0,1525.0,1074.0,1078.0,45.97,3169.0
Paschim Bardhaman,4.66,2720.0,186.0,434.0,271.0,270.0,12.53,835.0
Paschim Medinipur,3.92,3988.0,142.0,362.0,228.0,239.0,9.76,650.0
Purba Bardhaman,5.45,3487.0,15.0,301.0,317.0,282.0,7.11,543.0
Purba Medinipur,3.4,3468.0,191.0,381.0,198.0,251.0,6.18,420.0
Purulia,0.79,1154.0,9.0,70.0,46.0,48.0,2.63,175.0
South 24 Parganas,3.88,3582.0,154.0,395.0,226.0,247.0,10.17,741.0
Uttar Dinajpur,2.28,2125.0,88.0,195.0,133.0,132.0,4.38,451.0
