district,1_year_and_above,6_months_to_1_year,above_60_day_below_6_months,pending_below_60_days,total_pending
Alipurduar,0.0,0.0,0.0,2.0,2.0
Bankura,23.0,10.0,5.0,5.0,43.0
Birbhum,49.0,19.0,10.0,3.0,81.0
Cooch Behar,19.0,5.0,1.0,8.0,33.0
Dakshin Dinajpur,52.0,3.0,6.0,6.0,67.0
Darjeeling,23.0,4.0,6.0,12.0,45.0
Hooghly,135.0,72.0,72.0,12.0,289.0
Howrah,140.0,60.0,52.0,22.0,273.0
Jalpaiguri,16.0,4.0,2.0,17.0,39.0
Jhargram,1.0,0.0,0.0,0.0,1.0
Kalimpong,0.0,0.0,0.0,0.0,0.0
Kolkata,100.0,16.0,40.0,38.0,194.0
Malda,60.0,9.0,1.0,7.0,77.0
Murshidabad,67.0,8.0,1.0,11.0,86.0
Nadia,70.0,7.0,22.0,2.0,101.0
North 24 Parganas,184.0,44.0,49.0,19.0,311.0
Paschim Bardhaman,88.0,17.0,10.0,13.0,123.0
Paschim Medinipur,96.0,14.0,5.0,4.0,102.0
Purba Bardhaman,90.0,22.0,24.0,15.0,144.0
Purba Medinipur,46.0,16.0,0.0,6.0,68.0
Purulia,7.0,6.0,3.0,2.0,18.0
South 24 Parganas,360.0,31.0,32.0,17.0,437.0
Uttar Dinajpur,55.0,1.0,1.0,4.0,61.0
