district,amount_in_cr,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_sancti_oned_in_handloom_cluster_no,loan_sponsored_sancti_oned_in_kvib_cluster_no,proposals_sponsored_generated_in_msme_cluster_no
Alipurduar,1.27,75.0,75.0,89.0,98.0,129.0,149.0,159.0
Bankura,0.75,177.0,0.0,57.0,177.0,0.0,155.0,237.0
Birbhum,1.25,289.0,91.0,125.0,310.0,91.0,175.0,580.0
Cooch Behar,1.06,1462.0,2.0,36.0,1847.0,6.0,47.0,1863.0
Dakshin Dinajpur,0.06,17.0,0.0,3.0,17.0,0.0,4.0,34.0
Darjeeling,0.42,2092.0,0.0,12.0,2092.0,0.0,12.0,2092.0
Hooghly,0.0,9.0,98.0,0.0,9.0,98.0,0.0,9.0
Howrah,0.0,94.0,0.0,0.0,94.0,0.0,0.0,94.0
Jalpaiguri,0.0,23.0,0.0,0.0,23.0,0.0,1.0,90.0
Jhargram,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0
Kalimpong,0.0,19.0,0.0,0.0,19.0,0.0,0.0,39.0
Kolkata,0.0,40.0,0.0,0.0,46.0,0.0,0.0,302.0
Malda,0.0,20.0,62.0,0.0,20.0,62.0,0.0,74.0
Murshidabad,0.0,35.0,343.0,0.0,35.0,381.0,0.0,53.0
Nadia,8.12,196.0,395.0,35.0,222.0,735.0,45.0,1220.0
North 24 Parganas,9.1,118.0,23.0,46.0,148.0,23.0,48.0,172.0
Paschim Bardhaman,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0
Paschim Medinipur,2.47,3491.0,18.0,63.0,3491.0,18.0,63.0,4578.0
Purba Bardhaman,0.0,26.0,0.0,0.0,26.0,0.0,0.0,29.0
Purba Medinipur,0.0,1069.0,21.0,0.0,1069.0,21.0,0.0,1962.0
Purulia,2.04,78.0,0.0,101.0,89.0,0.0,111.0,124.0
South 24 Parganas,1.01,56.0,0.0,32.0,69.0,0.0,38.0,83.0
Uttar Dinajpur,0.4,2045.0,0.0,13.0,2056.0,0.0,13.0,2077.0
