district,aap_target_for_fy_2022_23_no_of_programs,achievement_no_of_programs,total_trained
Bankura,26.0,42.31,40.77
Birbhum,18.0,44.44,39.37
Cooch Behar,16.0,62.5,62.75
Darjeeling,14.0,28.57,35.43
Hooghly,24.0,58.33,48.19
Howrah,29.0,58.62,60.0
Jalpaiguri,18.0,38.89,47.5
Malda,24.0,50.0,55.2
Nadia,25.0,48.0,60.6
North 24 Parganas,28.0,53.57,76.67
Purba Bardhaman,26.0,57.69,55.85
Purba Medinipur,25.0,64.0,56.05
Purulia,21.0,33.33,33.93
South 24 Parganas,25.0,56.0,54.56
Uttar Dinajpur,27.0,40.74,49.19
