district,camp_conducted_by_rural_branches_during_the_quarter_no_of_total_rural_branches,no_of_camps,no_of_participants,special_camps_conducted_by_flcs_during_the_quarter_no_of_camps,target_specific_camps_conducted_by_flcs_during_the_quarter_no_of_camps
Alipurduar,51.0,134.0,0.0,0.0,0.0
Bankura,168.0,246.0,647.0,8.0,22.0
Birbhum,212.0,270.0,819.0,6.0,24.0
Cooch Behar,136.0,297.0,282.0,7.0,7.0
Darjeeling,76.0,173.0,1102.0,6.0,20.0
Hooghly,237.0,342.0,0.0,41.0,0.0
Howrah,115.0,242.0,1023.0,2.0,28.0
Jalpaiguri,79.0,225.0,85.0,1.0,2.0
Jhargram,82.0,83.0,720.0,4.0,4.0
Kalimpong,14.0,54.0,0.0,0.0,0.0
Kolkata,6.0,18.0,203.0,3.0,10.0
Malda,189.0,195.0,210.0,2.0,2.0
Murshidabad,339.0,497.0,344.0,6.0,6.0
Nadia,230.0,234.0,1305.0,14.0,14.0
Paschim Bardhaman,91.0,183.0,264.0,0.0,8.0
Paschim Medinipur,248.0,259.0,435.0,9.0,9.0
Purba Bardhaman,203.0,437.0,546.0,1.0,13.0
Purba Medinipur,177.0,286.0,0.0,0.0,0.0
Purulia,158.0,182.0,405.0,7.0,13.0
Uttar Dinajpur,78.0,136.0,691.0,6.0,20.0
