district,amount,mm_claimed_no,mm_disbursed_no,returned_no,sanctioned_no,sponsored_in_fy_2022_23_no,target_for_2022_23_no
Alipurduar,210.33,38.0,36.0,80.0,55.0,160.0,145.0
Bankura,198.61,20.0,18.0,67.0,31.0,121.0,138.0
Birbhum,229.47,33.0,29.0,75.0,50.0,227.0,168.0
Cooch Behar,630.78,47.0,45.0,214.0,89.0,454.0,167.0
Dakshin Dinajpur,125.71,11.0,17.0,32.0,17.0,72.0,137.0
Darjeeling,279.12,24.0,21.0,88.0,39.0,163.0,120.0
Hooghly,438.78,27.0,18.0,132.0,47.0,263.0,133.0
Howrah,553.58,41.0,32.0,211.0,84.0,381.0,120.0
Jalpaiguri,339.43,27.0,24.0,99.0,57.0,213.0,125.0
Kalimpong,66.62,4.0,9.0,21.0,12.0,45.0,100.0
Kolkata,100.47,6.0,13.0,51.0,5.0,80.0,105.0
Malda,326.62,34.0,20.0,111.0,49.0,246.0,112.0
Murshidabad,835.27,84.0,67.0,207.0,145.0,453.0,289.0
Nadia,241.62,27.0,27.0,62.0,56.0,172.0,134.0
Paschim Bardhaman,22.77,9.0,7.0,6.0,9.0,20.0,121.0
Paschim Medinipur,236.97,27.0,18.0,78.0,51.0,204.0,205.0
Purba Medinipur,534.06,164.0,163.0,172.0,247.0,963.0,530.0
Purulia,165.49,12.0,9.0,56.0,23.0,143.0,113.0
Uttar Dinajpur,65.58,7.0,11.0,32.0,27.0,91.0,132.0
