district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,54.05,348.0,2325.0,2735.0,68.24,5060.0,5667.0,8305.0,607.0
Birbhum,72.02,255.0,1432.0,3686.0,67.89,5118.0,5126.0,7551.0,8.0
Cooch Behar,53.2,163.0,1235.0,1404.0,68.08,2639.0,2673.0,3926.0,34.0
Dakshin Dinajpur,64.37,237.0,1673.0,3022.0,74.35,4695.0,4901.0,6592.0,206.0
Darjeeling,66.08,127.0,830.0,1617.0,74.03,2447.0,2491.0,3365.0,44.0
Hooghly,86.99,306.0,701.0,4688.0,69.94,5389.0,5389.0,7705.0,0.0
Howrah,26.76,682.0,10130.0,3702.0,83.3,13832.0,14489.0,17393.0,657.0
Jalpaiguri,76.22,289.0,1063.0,3407.0,78.08,4470.0,4734.0,6063.0,264.0
Malda,56.51,261.0,2193.0,2849.0,74.93,5042.0,5636.0,7522.0,594.0
Nadia,46.78,249.0,2224.0,1955.0,68.03,4179.0,4253.0,6252.0,74.0
North 24 Parganas,63.76,311.0,2326.0,4093.0,80.78,6419.0,6543.0,8100.0,124.0
Purba Bardhaman,62.77,289.0,1877.0,3164.0,67.71,5041.0,5041.0,7445.0,0.0
Purba Medinipur,56.5,274.0,2381.0,3092.0,69.83,5473.0,5522.0,7908.0,49.0
Purulia,63.6,212.0,1000.0,1747.0,50.55,2747.0,2747.0,5434.0,0.0
South 24 Parganas,75.31,348.0,1427.0,4353.0,64.82,5780.0,5908.0,9114.0,128.0
Uttar Dinajpur,53.85,247.0,2041.0,2382.0,72.12,4423.0,4503.0,6244.0,80.0
