district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,1306.39,1418.66,496.08,56.18,410.81,2325.55
Bankura,3507.49,4744.7,3995.41,35.79,1059.96,9800.07
Birbhum,2626.98,5254.45,3582.59,25.74,1370.78,10207.82
Cooch Behar,3629.26,4281.89,2075.0,48.39,1143.33,7500.21
Dakshin Dinajpur,3857.19,4524.73,3936.37,41.28,883.75,9344.86
Darjeeling,1856.8,1088.05,1953.44,46.5,951.65,3993.14
Hooghly,6136.65,5368.85,4567.2,53.08,1625.11,11561.16
Howrah,9949.31,2574.37,11397.5,65.27,1271.14,15243.01
Jalpaiguri,2041.02,2430.51,2558.81,34.99,843.85,5833.16
Jhargram,1782.78,2786.93,1899.24,32.49,801.52,5487.69
Kalimpong,95.08,319.69,315.43,12.82,106.81,741.93
Kolkata,13797.64,665.06,14546.63,60.66,7534.17,22745.86
Malda,4579.07,6237.69,2644.32,37.76,3246.19,12128.2
Murshidabad,10194.55,8128.64,6246.25,60.81,2390.38,16765.26
Nadia,8085.0,6542.09,6103.12,55.69,1871.57,14516.78
North 24 Parganas,10505.31,4086.16,10758.6,56.99,3588.39,18433.14
Paschim Bardhaman,3339.92,325.2,5951.01,49.26,503.51,6779.72
Purba Bardhaman,6826.12,8627.61,4655.94,45.7,1654.18,14937.73
Purba Medinipur,6737.4,6073.74,5273.22,50.25,2059.59,13406.56
Purulia,3822.25,3684.63,2935.87,48.52,1257.59,7878.1
South 24 Parganas,7248.33,4675.77,7912.34,49.44,2072.49,14660.6
Uttar Dinajpur,2424.13,3491.53,1160.42,41.68,1164.45,5816.39
