district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,419029.0,44959.0,103010.0,271060.0,239458.0
Bankura,1109315.0,111960.0,211866.0,785489.0,2108458.0
Birbhum,1390489.0,166949.0,368730.0,854810.0,2182202.0
Cooch Behar,952237.0,135435.0,219663.0,597139.0,1491459.0
Dakshin Dinajpur,585169.0,63554.0,127290.0,394325.0,1112201.0
Hooghly,1625309.0,206078.0,359161.0,1060070.0,2219508.0
Howrah,1290708.0,165616.0,299848.0,825244.0,1901657.0
Jalpaiguri,966968.0,127865.0,248098.0,591005.0,1714962.0
Kolkata,1826557.0,153981.0,382415.0,1290161.0,796885.0
Malda,1434559.0,197966.0,304568.0,932025.0,3035957.0
Murshidabad,2446405.0,329621.0,453812.0,1662972.0,4107566.0
Nadia,1592075.0,200156.0,288641.0,1103278.0,2869563.0
North 24 Parganas,2697561.0,314623.0,537709.0,1845229.0,4058904.0
Paschim Medinipur,1778608.0,214534.0,343250.0,1220824.0,2848792.0
Purba Bardhaman,2145460.0,246849.0,503344.0,1395267.0,3443244.0
Purba Medinipur,1540847.0,250047.0,280997.0,1009803.0,2509265.0
Purulia,738526.0,84924.0,165163.0,488439.0,1882370.0
South 24 Parganas,1921880.0,242775.0,394835.0,1284270.0,4688691.0
Uttar Dinajpur,871412.0,115222.0,186209.0,569981.0,2482128.0
