District,total_branch,deposits_rural,deposits_semi_urban,deposits_urban,total_deposit,advances_rural,advances_semi_urban,advances_urban,total_advance,cd_ratio
Adilabad,108.0,1536.69,451.68,1966.82,3955.19,2220.8,1083.13,5842.2,9146.13,231.24
Bhadradri Kothagudem,169.0,1114.0,6244.09,36.63,7394.72,1708.95,5726.75,187.42,7623.12,103.09
Hanumakonda,162.0,739.46,586.61,10060.64,11386.71,1411.77,1349.25,10953.66,13714.68,120.44
Hyderabad,1109.0,6.25,233.34,354877.92,355117.51,110.74,1456.93,446085.75,447653.42,126.06
Jagitial,126.0,1325.45,1797.77,1568.04,4691.26,2338.06,1834.68,1749.36,5922.1,126.24
Jangoan,61.0,584.67,1024.57,3.9,1613.14,1723.12,2078.44,4.6,3806.16,235.95
Jayashankar Bhupalapally,44.0,466.91,1004.26,0.0,1471.17,1008.72,870.98,3.54,1883.24,128.01
Jogulamba Gadwal,56.0,413.91,1256.49,0.0,1670.4,1246.89,1974.93,35.76,3257.58,195.02
Kamareddy,133.0,1111.67,2139.28,6.51,3257.46,2586.97,3475.19,75.4,6137.56,188.42
Karimnagar,216.0,3676.9,1902.77,6306.46,11886.13,3789.71,1942.92,7300.3,13032.93,109.65
Khammam,244.0,1863.74,1761.75,5475.87,9101.36,4011.65,3329.0,8848.27,16188.92,177.87
Kumuram Bheem Asifabad,54.0,1139.2,630.31,12.9,1782.41,1255.24,364.55,49.78,1669.57,93.67
Mahabubabad,69.0,405.49,1380.59,5.85,1791.93,1209.32,2876.12,68.56,4154.0,231.82
Mahabubnagar,139.0,808.95,708.87,3461.46,4979.28,1898.83,1440.41,4940.23,8279.47,166.28
Mancherial,122.0,2450.77,4422.43,276.09,7149.29,1987.46,3900.05,325.95,6213.46,86.91
Medak,106.0,834.33,1426.37,3.48,2264.18,2419.43,2605.12,477.94,5502.49,243.02
Medchal Malkajgiri,614.0,3262.49,6450.78,81053.21,90766.48,1849.36,5475.88,48393.91,55719.15,61.39
Mulugu,37.0,724.09,274.43,0.0,998.52,960.86,419.21,19.45,1399.52,140.16
Nagarkurnool,87.0,952.84,1355.24,9.25,2317.33,2169.64,2675.96,273.25,5118.85,220.89
Nalgonda,223.0,1755.16,1196.03,5043.84,7995.03,4940.34,2717.52,8223.56,15881.42,198.64
Narayanpet,53.0,426.33,767.97,0.0,1194.3,1180.59,1284.25,29.52,2494.36,208.86
Nirmal,92.0,1223.95,1423.23,55.43,2702.61,2356.75,2846.9,171.57,5375.22,198.89
Nizamabad,278.0,2470.32,1873.34,4419.48,8763.14,5434.4,3429.27,6262.23,15125.9,172.61
Peddapalli,111.0,1646.02,2297.15,2643.9,6587.07,1665.21,2250.29,1592.16,5507.66,83.61
Rajanna Sircilla,69.0,914.01,1737.93,674.64,3326.58,1484.94,1616.28,606.23,3707.45,111.45
Ranga Reddy,738.0,7367.86,4424.51,76287.54,88079.91,5904.24,5370.35,79989.02,91263.61,103.61
Sangareddy,237.0,6537.11,5637.99,4882.77,17057.87,4074.37,9231.43,4821.44,18127.24,106.27
Siddipet,141.0,1474.47,1494.17,1597.91,4566.55,2748.82,2303.85,1896.79,6949.46,152.18
Suryapet,156.0,1014.38,1552.84,1517.23,4084.45,2937.7,3798.41,3309.39,10045.5,245.94
Vikarabad,102.0,1018.96,1716.16,48.76,2783.88,1981.61,2440.98,130.85,4553.44,163.56
Wanaparthy,59.0,349.58,1300.16,7.93,1657.67,1053.9,2127.82,24.45,3206.17,193.41
Warangal,126.0,588.4,542.55,6139.9,7270.85,1851.18,1538.11,6373.32,9762.61,134.27
Yadadri Bhuvanagiri,104.0,1080.81,2244.75,16.12,3341.68,2194.3,3166.83,112.78,5473.91,163.81
