District,q4_fy_2022_23_no,approved_amt,cumulative_as_on_31_03_2023_no
Adilabad,295.0,32.77,5849.0
Bhadradri Kothagudem,432.0,10.84,1495.0
Hyderabad,2071.0,544.53,69414.0
Jagitial,144.0,15.01,590.0
Jangoan,97.0,6.87,562.0
Jayashankar Bhupalapally,31.0,1.05,563.0
Jogulamba Gadwal,147.0,4.37,893.0
Kamareddy,88.0,6.73,1289.0
Karimnagar,252.0,21.33,9407.0
Khammam,307.0,23.97,9754.0
Mahabubabad,57.0,4.7,494.0
Mahabubnagar,317.0,32.79,12602.0
Mancherial,92.0,6.65,523.0
Medak,171.0,16.65,7322.0
Medchal Malkajgiri,165.0,30.81,2036.0
Nagarkurnool,84.0,6.98,324.0
Nalgonda,469.0,36.89,14091.0
Nirmal,77.0,4.29,1008.0
Nizamabad,414.0,20.42,8027.0
Peddapalli,105.0,11.33,699.0
Rajanna Sircilla,37.0,2.66,509.0
Ranga Reddy,459.0,97.71,28875.0
Sangareddy,192.0,23.93,1549.0
Siddipet,148.0,13.35,1069.0
Suryapet,231.0,17.08,1594.0
Vikarabad,94.0,4.55,716.0
Wanaparthy,66.0,6.05,261.0
Warangal,250.0,24.01,10843.0
Yadadri Bhuvanagiri,55.0,8.77,1082.0
