District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Adilabad,108531.0,7.6,16.14,95.29,11.46,35.78,114.0,516.86,1097.37,1416.9,752.38,456.43,82635.0,1541.57,856.86,4345.4,2829.87,600.85,47.1,32.03,47.1,164.84,179.91,470.98
Bhadradri Kothagudem,245631.0,5.5,58.76,344.04,7.58,111.14,72.0,157.51,2114.23,667.36,1070.27,4527.37,85083.0,1140.87,6227.46,3990.35,2381.73,3631.24,9.36,6.82,7.45,23.64,18.32,65.59
Hanumakonda,163727.0,24.75,74.53,176.54,35.41,138.21,419.0,591.68,1625.49,2649.02,1113.39,1045.93,143558.0,2084.16,1591.2,7380.33,3849.39,1157.15,33.21,25.62,36.4,106.45,130.98,332.66
Hyderabad,137878.0,3456.69,0.0,436.2,543.98,49.57,4723.0,13515.59,410.57,43434.34,11539.37,175.24,2550713.0,216397.71,1877.94,368004.17,245453.34,1091.05,0.0,1097.31,3291.87,6584.74,11523.16,22497.08
Jagitial,187768.0,3.78,21.82,201.68,16.32,133.33,161.0,155.38,530.49,440.62,516.5,751.16,53320.0,461.19,999.98,1954.35,1153.17,663.77,17.32,12.24,29.29,68.76,46.12,173.73
Jangoan,150662.0,2.78,44.91,126.24,3.11,65.75,32.0,79.42,945.48,242.21,317.51,1718.13,22147.0,238.32,1560.71,1073.45,641.14,1208.1,6.19,4.73,8.4,18.48,15.27,53.07
Jayashankar Bhupalapally,,3.39,15.67,,3.09,16.49,,36.5,112.41,,183.68,265.13,,127.15,170.95,,353.81,163.42,21.64,18.74,32.47,69.28,74.38,216.51
Jogulamba Gadwal,137880.0,2.4,5.34,136.94,2.43,6.75,25.0,74.86,138.76,209.43,244.62,151.19,20466.0,242.43,158.64,939.6,566.74,126.09,44.94,35.98,53.95,161.8,152.82,449.49
Kamareddy,251993.0,4.48,403.6,264.72,4.86,10.13,70.0,144.62,66.98,537.6,336.51,222.68,35122.0,374.55,0.0,1743.54,865.02,207.87,1.11,48.0,215.91,151.12,0.0,416.14
Karimnagar,212062.0,77.72,293.5,200.87,44.09,208.56,508.0,432.36,1089.07,1453.93,995.64,1012.65,139634.0,1517.23,1918.12,5488.72,3067.04,1158.51,26.48,21.14,39.7,98.32,79.1,264.74
Khammam,479711.0,29.68,175.31,634.29,64.36,634.71,684.0,657.68,2157.74,2710.56,1070.1,1665.53,120679.0,1595.24,3375.45,6955.84,3417.06,2021.21,16.93,10.14,30.48,64.25,47.26,169.06
Kumuram Bheem Asifabad,39349.0,2.47,18.64,40.45,0.14,1.32,3.0,26.55,100.3,77.92,73.98,139.64,8269.0,115.26,395.4,384.55,218.4,164.84,13.25,10.64,26.47,52.98,29.15,132.49
Mahabubabad,215807.0,2.78,12.27,203.05,4.29,20.05,58.0,77.2,188.25,234.41,223.62,433.46,24864.0,293.54,309.41,941.09,601.43,259.77,22.65,21.4,41.01,51.59,94.87,231.52
Mahabubnagar,211395.0,17.74,49.14,240.53,15.09,83.55,158.0,323.08,596.75,1233.44,745.8,652.84,62746.0,781.2,999.49,3667.52,1882.91,626.18,36.1,18.06,54.14,114.24,78.16,300.7
Mancherial,92709.0,1.7,5.67,112.94,4.1,21.67,65.0,254.07,385.71,908.54,493.42,449.71,60435.0,706.8,944.04,2934.44,1460.09,487.77,29.96,18.92,65.87,109.72,74.87,299.34
Medak,207690.0,4.59,19.56,240.51,4.95,26.47,52.0,130.66,464.16,453.29,340.76,328.63,47283.0,450.3,747.63,1995.52,931.26,397.57,23.47,18.7,28.15,103.69,60.23,234.24
Medchal Malkajgiri,145968.0,158.59,222.18,237.98,193.83,14.16,1965.0,5230.88,280.63,11855.2,7430.68,431.62,561538.0,8718.77,252.65,35975.73,21732.75,256.37,71.38,1369.12,1863.99,1721.57,3450.93,8476.99
Mulugu,76229.0,0.28,4.66,109.51,1.93,96.5,17.0,28.44,355.06,60.54,141.71,1418.52,6968.0,92.7,2323.31,354.7,265.06,883.53,6.01,2.0,8.01,9.99,3.99,30.0
Nagarkurnool,257808.0,7.96,18.25,315.96,3.89,35.56,41.0,95.95,481.19,309.73,317.01,478.87,27177.0,357.15,1474.0,1230.34,781.96,474.15,43.61,10.94,19.94,66.2,24.23,164.92
Nalgonda,533681.0,12.54,28.75,709.14,33.24,95.16,394.0,438.18,668.57,1436.86,1167.75,835.72,124579.0,1554.09,1017.01,5234.49,3205.8,734.21,43.62,34.93,65.54,139.73,152.81,436.63
Narayanpet,149201.0,3.03,28.26,186.34,0.56,22.4,4.0,32.03,700.88,91.81,111.89,683.92,10089.0,124.8,957.79,431.58,272.31,577.17,10.72,2.5,4.57,16.36,13.03,47.18
Nirmal,122947.0,2.84,10.32,127.66,4.78,22.12,59.0,145.26,352.32,454.12,423.53,405.18,30665.0,358.45,447.06,1551.64,934.86,339.86,27.52,21.61,41.23,104.53,80.18,275.07
Nizamabad,366612.0,8.78,0.0,446.94,27.95,61.36,380.0,620.5,1167.01,2114.86,1016.86,4075.59,111683.0,5279.86,10266.11,5883.21,6953.95,3971.42,0.0,45.55,53.17,24.95,51.43,175.1
Peddapalli,133039.0,15.96,56.8,145.39,11.73,52.16,105.0,240.56,475.13,712.96,387.13,343.54,49769.0,635.02,939.66,2343.34,1290.4,458.42,28.1,22.49,50.63,112.69,67.58,281.49
Rajanna Sircilla,92853.0,5.14,58.94,121.94,8.84,162.5,77.0,176.73,622.29,509.36,203.19,755.63,37223.0,337.53,576.28,1366.69,731.43,571.34,8.72,5.44,28.4,26.89,58.57,128.02
Ranga Reddy,323819.0,392.27,86.74,419.46,211.56,14.61,2121.0,6801.04,193.4,21900.59,7245.56,580.96,1284246.0,30647.51,1744.35,70103.83,45297.94,537.93,452.26,1447.73,3516.63,1247.17,1756.96,8420.75
Sangareddy,275421.0,5.93,7.8,307.24,21.91,44.41,226.0,1068.75,575.77,5116.51,1799.85,579.94,130149.0,2159.52,450.3,10498.5,5055.96,459.25,76.04,49.34,185.62,310.35,479.57,1100.92
Siddipet,242133.0,76.84,84.71,293.07,10.69,66.19,130.0,239.37,639.68,825.95,492.78,1678.41,38416.0,405.67,333.17,2226.61,1225.35,414.81,90.71,16.15,37.42,29.36,121.76,295.4
Suryapet,387912.0,16.12,45.03,498.27,24.51,93.62,306.0,351.57,508.2,1219.71,468.59,490.41,56715.0,683.73,672.76,3041.74,1544.52,470.4,35.8,26.18,69.18,95.55,101.63,328.34
Vikarabad,219046.0,1.83,1.28,244.35,1.71,2.01,31.0,57.58,35.68,215.9,232.89,178.94,34333.0,331.8,68.75,1129.21,625.81,62.45,142.81,85.12,161.36,130.15,482.63,1002.07
Wanaparthy,144100.0,2.3,16.1,163.35,3.0,26.27,38.0,91.07,398.56,316.27,234.9,456.21,16360.0,176.45,411.5,934.52,507.72,355.22,14.29,11.42,22.85,51.49,42.88,142.93
Warangal,192328.0,31.34,279.82,189.04,20.79,235.45,288.0,282.37,1702.05,1184.81,456.96,1208.89,71975.0,1264.1,3492.95,4733.08,2055.56,1858.39,11.2,8.83,16.59,37.8,36.19,110.61
Yadadri Bhuvanagiri,207338.0,8.16,31.4,226.53,11.61,67.07,118.0,151.63,674.81,567.04,409.42,1181.59,34601.0,347.16,477.26,1711.57,927.98,535.91,25.99,17.31,22.47,34.65,72.74,173.16
