District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Adilabad,27.0,0.05,0.0,1306.71,7.17,16.79,375.0,52.88,63.61,396.42,24.73,109.96,154.0,0.0,0.0,96.69,75.55,0.0,2175.91,308.53,2484.44,187.29,329.89,3001.62,644.79,6414.7,168.65,0.0,42.71,83.13,22.49,8.73,0.0,3803.47
Bhadradri Kothagudem,14.0,0.0,0.0,555.63,9.85,5.01,1157.0,21.14,4.31,223.13,0.0,0.0,254.0,0.63,2.73,69.44,76.26,0.0,2484.71,817.43,3302.14,122.82,683.59,4108.55,424.55,2755.53,52.3,0.0,196.5,490.06,26.02,23.08,0.0,5268.76
Hanumakonda,135.0,0.0,0.0,2216.92,25.7,35.43,2817.0,50.75,13.9,634.41,1.8,1.63,7.0,0.33,39.76,63.34,45.37,0.0,1408.89,522.0,1930.89,185.51,186.22,2302.62,1262.16,4713.61,114.58,0.0,72.54,365.04,110.75,0.83,0.0,4113.94
Hyderabad,1900.0,194.05,0.0,54767.82,125.04,12.45,12006.0,1672.42,73.16,9340.21,2800.79,825.32,27.0,42.73,195.83,471.83,404.17,76.99,0.0,0.0,0.0,0.0,0.0,0.0,21438.16,62357.63,243.45,0.0,1004.29,2286.0,339.36,21.82,524.95,25614.58
Jagitial,89.0,0.0,0.0,430.86,15.54,53.46,767.0,47.87,58.59,335.33,0.13,0.64,232.0,18.74,283.51,106.37,85.88,0.0,2320.98,570.04,2891.02,89.13,548.56,3528.71,881.94,3225.46,70.91,0.0,29.07,81.7,20.47,6.61,0.0,4548.5
Jangoan,43.0,0.0,0.0,195.5,6.91,29.63,700.0,20.63,33.47,164.77,0.2,2.54,0.0,0.0,0.0,36.76,32.0,0.0,1459.74,695.54,2155.28,142.62,106.49,2404.39,293.3,2165.96,77.59,0.0,23.32,61.63,7.87,0.94,0.0,2791.45
Jayashankar Bhupalapally,,0.0,0.0,,4.82,40.81,,2.93,8.46,,0.0,0.0,,1.01,136.49,,26.75,0.0,973.86,451.58,1425.44,81.81,51.88,1559.13,119.64,957.6,55.29,0.0,11.81,34.65,5.98,0.74,0.0,1731.95
Jogulamba Gadwal,6.0,0.0,0.0,246.15,2.53,20.19,279.0,14.34,16.36,110.5,0.0,0.0,0.0,0.0,0.0,13.18,14.65,0.0,2404.3,457.21,2861.51,69.32,312.39,3243.22,416.1,1966.11,52.04,0.0,12.53,87.65,13.44,4.84,0.0,3777.78
Kamareddy,144.0,0.0,0.0,409.28,4.52,12.28,569.0,49.53,52.19,356.9,0.0,0.0,1.0,0.0,0.0,75.28,36.65,0.0,2757.06,690.43,3447.49,83.65,144.26,3675.4,520.01,3190.21,73.44,0.0,36.81,94.91,14.45,2.67,0.0,4344.25
Karimnagar,75.0,0.0,0.0,2128.33,25.9,96.0,1551.0,176.78,136.39,712.03,0.16,0.97,687.0,32.49,1024.92,228.42,168.88,0.0,2207.51,581.4,2788.91,74.43,473.45,3336.79,994.75,5705.44,126.57,0.0,26.98,129.61,16.56,3.17,0.0,4507.86
Khammam,91.0,0.0,0.0,1739.19,29.74,15.49,2531.0,76.61,17.07,868.84,0.5,1.72,245.0,14.5,80.69,164.05,133.97,0.0,2893.71,768.29,3662.0,163.86,780.43,4606.29,519.21,6970.07,119.9,0.0,192.03,448.8,29.15,17.97,0.0,5813.45
Kumuram Bheem Asifabad,22.0,0.0,0.0,120.87,1.26,3.79,108.0,7.31,11.18,42.52,0.0,0.0,50.0,0.0,0.0,23.26,16.82,0.0,1492.55,239.48,1732.03,130.96,172.49,2035.48,190.78,1009.0,43.03,0.0,33.28,65.37,14.24,5.77,0.0,2344.92
Mahabubabad,29.0,0.0,0.0,289.55,7.61,72.75,668.0,13.71,72.5,140.12,0.0,0.0,1.0,0.05,5.21,55.9,59.67,0.0,1668.49,551.63,2220.12,137.6,57.97,2415.69,271.38,2672.08,98.0,0.0,10.46,18.91,9.32,0.96,0.0,2726.72
Mahabubnagar,90.0,0.0,0.0,1014.8,9.55,53.35,871.0,80.01,56.95,605.84,0.25,1.37,1.0,0.0,0.0,24.87,28.58,0.0,2965.51,638.41,3603.92,66.14,450.68,4120.74,538.15,3346.27,69.0,0.0,17.9,140.49,18.23,13.94,0.0,4849.45
Mancherial,70.0,0.0,0.0,599.01,8.04,6.56,816.0,48.62,20.25,448.27,2.12,5.21,46.0,0.0,0.0,45.44,42.33,0.0,1960.89,612.46,2573.35,132.31,276.18,2981.84,688.54,2397.78,58.73,0.0,122.63,240.09,40.72,8.94,0.0,4082.76
Medak,32.0,0.0,0.0,485.13,3.62,84.19,389.0,16.23,7.92,167.83,0.4,2.31,0.0,0.0,0.0,152.32,110.07,0.0,1540.18,494.66,2034.84,121.81,330.11,2486.76,447.99,2765.0,87.27,0.0,4.3,204.88,17.31,7.04,0.0,3168.28
Medchal Malkajgiri,280.0,0.0,0.0,11545.05,141.31,49.61,7911.0,618.75,68.91,3704.95,2.55,1.06,11.0,1.63,4.92,184.69,169.25,0.0,243.55,1100.05,1343.6,119.03,272.59,1735.22,4866.88,19539.89,242.48,0.0,284.87,897.92,240.18,33.13,0.0,8058.2
Mulugu,147.0,0.0,0.0,57.76,5.18,38.37,448.0,4.44,15.91,34.1,0.0,0.0,19.0,0.0,0.0,5.76,3.52,0.0,822.7,369.45,1192.15,46.11,43.81,1282.07,163.22,801.01,53.58,0.0,13.5,27.9,7.55,0.66,0.0,1494.9
Nagarkurnool,13.0,0.0,0.0,322.65,5.51,40.57,469.0,28.15,33.79,172.85,0.0,0.0,0.0,0.0,0.0,27.71,30.78,0.0,2824.66,944.54,3769.2,105.09,473.72,4348.01,307.09,3049.59,63.98,0.0,13.58,83.3,5.02,9.59,0.0,4766.59
Nalgonda,137.0,0.0,0.0,1654.57,28.24,47.58,1863.0,95.36,35.74,807.3,0.65,1.37,2.0,0.0,0.0,73.62,76.63,0.0,4616.71,589.01,5205.72,239.96,1124.1,6569.78,753.71,8307.32,107.2,0.0,59.35,266.85,47.55,52.13,0.0,7749.37
Narayanpet,23.0,0.0,0.0,137.73,4.02,84.81,436.0,9.89,103.67,81.01,0.0,0.0,0.0,0.0,0.0,17.33,23.63,0.0,1696.24,405.2,2101.44,51.47,73.59,2226.5,119.41,1662.45,69.94,0.0,4.74,9.54,11.28,5.35,0.0,2376.82
Nirmal,35.0,0.0,0.0,583.45,4.78,12.46,375.0,34.78,42.66,266.2,0.0,0.0,16.0,0.07,0.35,36.48,31.18,0.0,2153.21,474.47,2627.68,206.31,301.3,3135.29,454.97,3130.74,83.49,0.0,38.37,81.52,20.02,19.79,0.0,3749.96
Nizamabad,274.0,0.0,0.0,1704.17,16.58,33.1,1634.0,118.01,74.8,1102.16,1.29,3.63,2.0,0.0,0.0,167.89,117.77,0.0,3849.12,1016.21,4865.33,190.24,854.07,5909.64,1459.37,7014.54,91.94,0.0,50.09,157.77,35.58,17.22,0.0,7629.67
Peddapalli,43.0,0.0,0.0,565.22,18.49,146.98,1135.0,35.6,51.01,268.27,0.07,0.43,242.0,11.47,107.8,58.72,59.75,0.0,1672.07,391.02,2063.09,42.17,355.89,2461.15,409.2,2741.51,92.01,0.0,12.58,69.79,16.17,10.64,0.0,2979.53
Rajanna Sircilla,10.0,0.0,0.0,293.81,7.63,70.19,485.0,25.62,94.57,240.66,0.0,0.0,476.0,24.96,389.39,122.28,82.71,0.0,1299.22,294.31,1593.53,117.54,269.51,1980.58,567.89,1796.87,69.09,0.0,10.87,27.09,7.82,6.41,0.0,2600.66
Ranga Reddy,1229.0,0.0,0.0,9164.14,74.29,78.48,6688.0,884.64,87.28,4533.04,1.91,1.52,20.0,0.07,0.4,200.91,201.7,0.0,2716.85,1634.31,4351.16,335.02,578.84,5265.02,7220.07,15294.65,111.34,0.0,94.66,1013.62,125.93,17.64,0.0,13736.94
Sangareddy,135.0,0.0,0.0,1623.07,21.65,26.76,2170.0,118.97,9.89,1488.72,0.79,1.75,0.0,0.12,1.73,193.82,148.95,0.0,2453.67,723.99,3177.66,116.87,416.38,3710.91,957.73,5213.46,86.82,0.0,80.9,1203.49,45.25,6.94,0.0,6005.22
Siddipet,44.0,0.0,0.0,482.52,11.82,139.22,1187.0,54.88,18.81,463.4,0.0,0.0,11.0,0.12,2.6,177.25,153.26,0.0,2677.28,709.33,3386.61,121.14,408.75,3916.5,819.43,3730.09,73.27,0.0,8.49,291.81,50.18,4.62,0.0,5091.03
