District,no_of_accounts,net_loan_sanctioned,net_loan_disbursed,total_net_subsidy
Adilabad,577.0,110.77,77.06,12.95
Hyderabad,42228.0,11720.73,8833.84,962.74
Jagitial,7.0,0.78,0.6,0.16
Jogulamba Gadwal,8.0,0.96,0.92,0.16
Kamareddy,30.0,5.0,4.87,0.71
Karimnagar,2422.0,484.09,319.37,54.45
Khammam,1932.0,410.32,343.41,45.86
Mahabubabad,31.0,5.58,5.06,0.79
Mahabubnagar,2896.0,560.81,438.02,68.12
Mancherial,14.0,3.01,2.52,0.33
Medak,3698.0,815.68,659.03,88.33
Medchal Malkajgiri,1744.0,385.35,359.8,42.69
Nalgonda,3815.0,693.59,562.86,92.42
Nirmal,25.0,3.68,3.01,0.56
Nizamabad,1230.0,241.39,172.14,28.21
Peddapalli,7.0,1.67,0.93,0.16
Ranga Reddy,5579.0,1266.32,1096.11,130.45
Sangareddy,90.0,18.46,15.97,2.25
Siddipet,15.0,2.58,2.43,0.36
Suryapet,56.0,9.93,9.07,1.45
Vikarabad,7.0,0.97,0.94,0.18
Wanaparthy,141.0,21.63,20.12,3.28
Warangal,20.0,1.99,1.83,0.44
Yadadri Bhuvanagiri,29.0,4.26,3.33,0.67
