district,amount,kcc_disbursement_during_01_04_2024_to_31_03_2025_fresh_renewal_no,kcc_outstanding_as_on_31_03_2025_no,of_achievement_no,target_no
Alipurduar,591.54,44204.0,81871.0,114.82,38500.0
Bankura,956.28,129362.0,191032.0,65.33,198000.0
Birbhum,1087.61,142673.0,238156.0,59.45,240000.0
Cooch Behar,1803.75,84459.0,179136.0,44.45,190000.0
Dakshin Dinajpur,546.93,71052.0,143538.0,61.78,115000.0
Darjeeling,290.93,31380.0,31122.0,169.62,18500.0
Hooghly,2130.03,314592.0,324869.0,79.64,395000.0
Howrah,698.14,66863.0,78179.0,70.38,95000.0
Jalpaiguri,858.06,59869.0,75597.0,149.67,40000.0
Jhargram,362.49,80501.0,102141.0,146.37,55000.0
Kalimpong,178.44,22421.0,22064.0,224.21,10000.0
Kolkata,231.93,1460.0,2820.0,,0.0
Malda,1224.64,153282.0,134952.0,139.35,110000.0
Murshidabad,1247.94,140170.0,225899.0,147.55,95000.0
Nadia,1692.04,187802.0,293382.0,170.73,110000.0
Paschim Bardhaman,584.21,100312.0,101426.0,401.25,25000.0
Paschim Medinipur,1993.23,283242.0,349181.0,115.61,245000.0
Purba Bardhaman,2204.27,178261.0,334360.0,63.66,280000.0
Purba Medinipur,2122.83,551372.0,463951.0,73.52,750000.0
Purulia,484.26,54251.0,100718.0,155.0,35000.0
Uttar Dinajpur,874.29,57123.0,161824.0,103.86,55000.0
