district,disbursement_amt,kishor_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,tarun_plus_no_of_a_cs,total_no_of_a_cs
Alipurduar,741.93,45956.0,743.01,44569.0,1781.0,13.0,92319.0
Bankura,840.13,35869.0,872.12,56569.0,3847.0,17.0,96302.0
Birbhum,1958.25,92006.0,1961.71,100905.0,4750.0,32.0,197693.0
Cooch Behar,1280.07,75892.0,1286.48,55648.0,2992.0,33.0,134565.0
Dakshin Dinajpur,613.09,34346.0,629.73,28167.0,1835.0,9.0,64357.0
Howrah,2738.0,155347.0,2751.52,145259.0,4844.0,24.0,305474.0
Jalpaiguri,1301.85,72154.0,1311.23,68225.0,3969.0,32.0,144380.0
Jhargram,241.21,7863.0,242.86,16748.0,1143.0,12.0,25766.0
Kalimpong,64.23,3073.0,64.52,1975.0,179.0,1.0,5228.0
Kolkata,3730.65,148245.0,3755.61,166323.0,16587.0,135.0,331290.0
Malda,1735.69,117900.0,1747.31,81069.0,3522.0,14.0,202505.0
Murshidabad,4216.92,293101.0,4251.75,250830.0,8216.0,29.0,552176.0
Nadia,2638.24,145652.0,2668.82,149842.0,7947.0,25.0,303466.0
North 24 Parganas,4602.53,242460.0,4683.13,267465.0,15688.0,51.0,525664.0
Paschim Medinipur,1686.17,67776.0,1702.48,89909.0,7893.0,50.0,165628.0
Purba Bardhaman,1787.04,83113.0,1793.05,99935.0,5593.0,54.0,188695.0
Purba Medinipur,2145.81,100966.0,2164.35,90693.0,8788.0,183.0,200630.0
South 24 Parganas,2862.03,157110.0,2896.4,194184.0,7859.0,50.0,359203.0
Uttar Dinajpur,1451.06,86336.0,1473.62,58114.0,3720.0,12.0,148182.0
