district,aadhaar_seeded,female_a_c,male_a_c,rupaycard_issued,rural_a_c,total_a_c,total_deposit,urban_a_c,zero_balance_account
Alipurduar,554886.0,362273.0,271084.0,521933.0,412198.0,633357.0,301.51,221159.0,42178.0
Bankura,2088398.0,1333297.0,1079467.0,1380206.0,2059573.0,2412764.0,1373.84,353191.0,147608.0
Birbhum,2152683.0,1403445.0,1055376.0,1464359.0,1979782.0,2458821.0,1169.89,479039.0,91449.0
Cooch Behar,1548338.0,986843.0,779619.0,1346469.0,1280839.0,1766462.0,567.48,485623.0,113802.0
Dakshin Dinajpur,1094223.0,725419.0,556438.0,755372.0,1038129.0,1281857.0,464.86,243728.0,86442.0
Darjeeling,593304.0,396906.0,277954.0,529997.0,318359.0,674860.0,416.13,356501.0,45254.0
Hooghly,2285044.0,1514207.0,1039221.0,1622842.0,1746351.0,2553428.0,1426.71,807077.0,115873.0
Howrah,1945883.0,1279362.0,902984.0,1466365.0,1432464.0,2182346.0,1144.55,749882.0,81179.0
Jalpaiguri,1459389.0,942505.0,701730.0,1184300.0,1103425.0,1644235.0,697.26,540810.0,115333.0
Jhargram,411465.0,275969.0,223058.0,267652.0,464531.0,499027.0,296.96,34496.0,27900.0
Kalimpong,27694.0,18270.0,14690.0,28308.0,20189.0,32960.0,22.97,12771.0,1670.0
Kolkata,845151.0,569379.0,448942.0,780731.0,8413.0,1018321.0,456.92,1009908.0,109311.0
Malda,3188195.0,2055422.0,1552136.0,1991294.0,3123287.0,3607558.0,1363.73,484271.0,316310.0
Murshidabad,4340119.0,2788829.0,2185376.0,3441415.0,3705840.0,4974205.0,1872.41,1268365.0,353957.0
Nadia,2830894.0,1899651.0,1432992.0,2172034.0,2246266.0,3332643.0,1497.34,1086377.0,233968.0
North 24 Parganas,4183424.0,2753573.0,2026152.0,3296888.0,2824832.0,4779725.0,2402.88,1954893.0,264148.0
Paschim Bardhaman,1354398.0,1027193.0,546604.0,814574.0,889793.0,1573797.0,629.13,684004.0,80764.0
Paschim Medinipur,2449483.0,1621037.0,1181569.0,1678509.0,2289622.0,2802606.0,1506.24,512984.0,145759.0
Purba Bardhaman,2064919.0,1396475.0,965119.0,1742001.0,1800004.0,2361594.0,1081.85,561590.0,84418.0
Purba Medinipur,2369602.0,1529906.0,1196385.0,1664477.0,2482518.0,2726291.0,1549.62,243773.0,147189.0
Purulia,1905429.0,1189565.0,1000011.0,1294086.0,1821331.0,2189576.0,1333.55,368245.0,164063.0
South 24 Parganas,4712618.0,3087214.0,2342065.0,3447869.0,4603547.0,5429279.0,2500.35,825732.0,385789.0
Uttar Dinajpur,2408336.0,1618337.0,1263616.0,1520005.0,2249873.0,2881953.0,772.01,632080.0,261107.0
