district,camps_by_rural_branches_no_of_total_rural_branches,no_of_camps_conducted,no_of_flcs,no_of_participants_attended,special_camps_by_flcs_target,target,target_specific_camps_by_flcs_target
Alipurduar,53.0,165.0,0.0,0.0,0.0,159.0,0.0
Bankura,168.0,618.0,1.0,13974.0,6.0,504.0,15.0
Birbhum,212.0,701.0,1.0,715.0,6.0,636.0,15.0
Cooch Behar,136.0,436.0,2.0,1545.0,12.0,408.0,30.0
Dakshin Dinajpur,78.0,229.0,2.0,7623.0,12.0,234.0,30.0
Darjeeling,73.0,178.0,2.0,145.0,12.0,219.0,30.0
Hooghly,237.0,950.0,1.0,17597.0,6.0,711.0,15.0
Howrah,115.0,45.0,2.0,1786.0,12.0,345.0,30.0
Jalpaiguri,79.0,247.0,1.0,313.0,6.0,237.0,15.0
Jhargram,83.0,239.0,1.0,6173.0,6.0,249.0,15.0
Kalimpong,13.0,42.0,1.0,498.0,6.0,39.0,15.0
Kolkata,0.0,0.0,1.0,0.0,6.0,0.0,15.0
Malda,151.0,454.0,2.0,23783.0,12.0,453.0,30.0
Murshidabad,339.0,1073.0,2.0,736.0,12.0,1017.0,30.0
Nadia,195.0,593.0,1.0,581.0,6.0,585.0,15.0
North 24 Parganas,323.0,794.0,1.0,203.0,6.0,969.0,15.0
Paschim Bardhaman,102.0,176.0,1.0,11568.0,6.0,306.0,15.0
Paschim Medinipur,250.0,753.0,1.0,227.0,6.0,750.0,15.0
Purba Bardhaman,327.0,1297.0,1.0,2265.0,6.0,981.0,15.0
Purba Medinipur,252.0,64.0,2.0,4170.0,12.0,756.0,30.0
Purulia,129.0,305.0,1.0,293.0,6.0,387.0,15.0
South 24 Parganas,316.0,853.0,1.0,531.0,6.0,948.0,15.0
Uttar Dinajpur,104.0,320.0,1.0,13973.0,6.0,312.0,15.0
