district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,2693.18,1762.16,649.8,86.87,688.36,3100.32
Bankura,5418.15,5333.79,4912.61,46.76,1339.79,11586.18
Birbhum,8633.81,6045.0,4107.35,74.42,1449.72,11602.07
Cooch Behar,6255.47,5227.38,2565.0,63.67,2032.71,9825.09
Dakshin Dinajpur,3536.61,5353.97,4564.01,32.28,1038.87,10956.85
Darjeeling,10096.97,1160.81,3450.0,178.77,1037.12,5647.92
Hooghly,15191.62,5777.09,5615.4,115.95,1709.69,13102.18
Howrah,14092.8,2706.6,16000.0,70.85,1185.31,19891.91
Jalpaiguri,6127.6,3178.76,3109.1,81.74,1208.8,7496.66
Jhargram,2544.37,3044.78,2432.48,39.98,886.68,6363.93
Kalimpong,559.29,359.72,364.02,66.51,117.19,840.93
Kolkata,111388.74,696.83,25000.0,346.43,6456.58,32153.4
Malda,8074.68,7000.12,3652.32,55.87,3799.51,14451.95
Murshidabad,10669.68,10367.53,8398.15,48.34,3308.59,22074.27
Nadia,8401.66,7571.87,9075.37,44.76,2124.11,18771.35
North 24 Parganas,22018.82,5175.9,16000.0,86.23,4358.45,25534.35
Paschim Bardhaman,10852.79,415.69,7739.57,123.73,615.94,8771.2
Paschim Medinipur,9430.0,11472.58,7082.4,44.57,2600.91,21155.89
Purba Bardhaman,13263.74,9670.7,6437.55,73.35,1974.6,18082.85
Purba Medinipur,13103.84,8403.42,5902.98,77.91,2512.79,16819.19
Purulia,3977.6,4620.62,3949.51,38.1,1869.27,10439.4
South 24 Parganas,11297.1,5996.09,11106.44,57.64,2497.78,19600.31
Uttar Dinajpur,4966.65,4510.81,1395.13,67.91,1407.29,7313.22
