district,amount_in_cr,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_sanct_ioned_in_handloom_cluster_no,loan_sponsored_sanct_ioned_in_kvib_cluster_no,proposals_sponsored_generated_in_msme_cluster_no
Alipurduar,0.0,688.0,421.0,0.0,771.0,502.0,0.0,1545.0
Bankura,1.63,136.0,45.0,70.0,136.0,45.0,70.0,136.0
Birbhum,0.0,2095.0,0.0,0.0,2095.0,0.0,0.0,2753.0
Cooch Behar,22.46,381.0,355.0,225.0,416.0,625.0,521.0,516.0
Dakshin Dinajpur,0.48,42.0,36.0,29.0,46.0,41.0,38.0,125.0
Darjeeling,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0
Hooghly,0.0,94.0,135.0,0.0,94.0,135.0,0.0,94.0
Howrah,0.19,187.0,18.0,9.0,187.0,18.0,9.0,187.0
Jhargram,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0
Kalimpong,0.0,14.0,0.0,0.0,14.0,0.0,0.0,44.0
Kolkata,0.32,30.0,0.0,56.0,30.0,0.0,56.0,86.0
Malda,0.1,62.0,105.0,8.0,71.0,172.0,10.0,145.0
Murshidabad,0.0,448.0,623.0,0.0,448.0,623.0,0.0,448.0
Nadia,20.85,1390.0,1000.0,99.0,1431.0,1050.0,105.0,2420.0
North 24 Parganas,10.04,143.0,0.0,54.0,160.0,0.0,57.0,226.0
Paschim Bardhaman,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0
Paschim Medinipur,155.01,309.0,44.0,3923.0,315.0,44.0,3932.0,1950.0
Purba Bardhaman,2.77,45.0,548.0,158.0,45.0,548.0,158.0,87.0
Purba Medinipur,0.0,133.0,1013.0,0.0,144.0,1086.0,0.0,144.0
Purulia,4.59,231.0,9.0,220.0,259.0,9.0,234.0,302.0
South 24 Parganas,0.0,70.0,0.0,0.0,76.0,0.0,0.0,122.0
Uttar Dinajpur,0.0,2385.0,61.0,0.0,2401.0,61.0,0.0,2462.0
