district,advance,cd_ratio,cd_ratio_as_on_march_2024,cd_ratio_as_on_march_2025,cd_ratio_as_on_march_2025_deposit
Alipurduar,5583.19,63.43,54.85,63.43,8801.45
Bankura,12123.9,57.0,54.94,57.0,21270.0
Birbhum,12150.45,53.51,53.5,53.51,22708.35
Cooch Behar,20083.69,105.74,80.39,105.74,18994.34
Dakshin Dinajpur,4395.53,69.96,62.42,69.96,6282.98
Darjeeling,19153.25,68.56,67.55,68.56,27936.98
Hooghly,28947.99,47.14,45.76,47.14,61409.9
Howrah,29733.09,49.71,49.14,49.71,59809.97
Jalpaiguri,10254.28,77.17,93.16,77.17,13287.73
Jhargram,2414.33,45.3,47.39,45.3,5330.19
Kalimpong,1098.28,50.99,60.77,50.99,2154.08
Kolkata,360066.68,103.89,98.7,103.89,346578.61
Malda,10830.51,60.43,58.84,60.43,17921.49
Murshidabad,18634.61,59.92,57.06,59.92,31101.54
Nadia,17650.0,51.08,50.75,51.08,34553.0
North 24 Parganas,158823.05,48.25,44.51,48.25,329136.92
Paschim Bardhaman,29196.58,54.12,52.49,54.12,53946.83
Paschim Medinipur,22244.83,53.8,51.4,53.8,41346.24
Purba Bardhaman,21519.91,55.2,53.5,55.2,38985.03
Purba Medinipur,20681.31,53.58,50.82,53.58,38599.55
Purulia,6743.83,49.24,49.34,49.24,12679.67
South 24 Parganas,20812.82,50.81,47.08,50.81,40959.59
Uttar Dinajpur,6655.72,69.46,65.29,69.46,9582.14
