district,aap_target_for_fy_2024_25_no_of_programs,achievement_no_of_programs,total_to_be_trained,total_trained
Bankura,33.0,103.0,1000.0,101.0
Birbhum,33.0,94.0,1000.0,102.0
Cooch Behar,33.0,100.0,1000.0,103.0
Darjeeling,33.0,97.0,1000.0,103.0
Hooghly,33.0,118.0,1000.0,103.0
Howrah,33.0,103.0,1000.0,101.0
Jalpaiguri,33.0,97.0,1000.0,100.0
Malda,33.0,97.0,1000.0,100.0
Nadia,33.0,118.0,1000.0,103.0
North 24 Parganas,33.0,109.0,1000.0,116.0
Purba Bardhaman,33.0,97.0,1000.0,101.0
Purba Medinipur,33.0,103.0,1000.0,103.0
Purulia,33.0,109.0,1000.0,100.0
South 24 Parganas,33.0,136.0,1000.0,107.0
Uttar Dinajpur,33.0,109.0,1000.0,102.0
