district,amt,pending_above_1_year_no,pending_above_60_days_no,pending_below_60_days_no,pending_from_6_month_to_1_year_no,total_pending_no
Alipurduar,41.53,3.0,5.0,2.0,4.0,14.0
Bankura,27.83,21.0,8.0,8.0,10.0,47.0
Birbhum,33.92,62.0,34.0,6.0,49.0,151.0
Cooch Behar,29.94,43.0,7.0,9.0,43.0,102.0
Dakshin Dinajpur,7.55,33.0,16.0,4.0,18.0,71.0
Darjeeling,86.48,19.0,10.0,25.0,27.0,81.0
Hooghly,83.48,157.0,28.0,34.0,69.0,288.0
Howrah,168.48,128.0,39.0,49.0,99.0,315.0
Jalpaiguri,27.11,19.0,9.0,14.0,30.0,72.0
Jhargram,1.78,8.0,1.0,1.0,2.0,12.0
Kalimpong,1.0,2.0,0.0,2.0,0.0,4.0
Kolkata,194.54,114.0,26.0,68.0,126.0,334.0
Malda,37.98,47.0,13.0,16.0,12.0,88.0
Murshidabad,32.42,48.0,18.0,8.0,17.0,91.0
Nadia,35.23,77.0,9.0,31.0,56.0,173.0
Paschim Bardhaman,215.95,60.0,15.0,13.0,47.0,135.0
Paschim Medinipur,47.19,72.0,11.0,4.0,43.0,130.0
Purba Bardhaman,116.7,149.0,29.0,15.0,76.0,269.0
Purba Medinipur,153.15,80.0,18.0,25.0,23.0,146.0
Purulia,29.66,7.0,0.0,13.0,5.0,25.0
Uttar Dinajpur,12.83,44.0,4.0,0.0,9.0,57.0
