district,amount,average_disbursement_amount_in_lakh,disbursement_no,of_achievement_no,outstanding_no,sanction_no,target_2024_25_no
Alipurduar,121.3,3.36,20652.0,181.81,24426.0,13588.0,11359.0
Bankura,82.78,2.45,46851.0,136.69,61144.0,30571.0,34275.0
Birbhum,92.19,3.27,55233.0,113.18,68676.0,48810.0,48800.0
Cooch Behar,106.8,2.9,49992.0,189.9,56962.0,29929.0,26325.0
Dakshin Dinajpur,87.99,2.46,22036.0,135.82,27545.0,15830.0,16225.0
Darjeeling,109.13,4.06,7089.0,117.39,7914.0,5816.0,6039.0
Hooghly,123.46,3.27,46864.0,150.4,52937.0,36971.0,31160.0
Howrah,88.05,3.08,32825.0,109.83,38929.0,31676.0,29888.0
Jalpaiguri,90.44,2.69,32413.0,157.67,38764.0,23497.0,20557.0
Jhargram,80.61,2.75,15836.0,117.3,19774.0,17275.0,13500.0
Kalimpong,123.6,4.44,3154.0,110.09,3529.0,2695.0,2865.0
Kolkata,100.0,1.83,1544.0,100.0,3606.0,0.0,0.0
Malda,97.39,2.32,52499.0,164.07,64064.0,46359.0,31998.0
Murshidabad,82.65,2.2,67450.0,190.04,87015.0,44091.0,35493.0
Nadia,109.56,2.41,51892.0,160.74,65999.0,27269.0,32284.0
North 24 Parganas,85.64,2.29,67130.0,140.94,81636.0,43753.0,47629.0
Paschim Bardhaman,85.84,3.07,9774.0,86.03,12441.0,10256.0,11361.0
Paschim Medinipur,120.41,4.1,55134.0,111.82,68105.0,44857.0,49304.0
Purba Bardhaman,96.42,3.32,54651.0,117.53,68004.0,41801.0,46500.0
Purba Medinipur,117.64,5.57,64125.0,120.34,82575.0,51665.0,53285.0
Purulia,71.49,1.77,30248.0,130.38,42313.0,29407.0,23200.0
South 24 Parganas,122.96,3.21,75136.0,156.72,89226.0,38498.0,47942.0
Uttar Dinajpur,133.7,2.44,36978.0,204.34,44248.0,19214.0,18096.0
