district,achievement,no_of_eligible_operative_ca_a_c,no_of_eligible_operative_sb_a_c,no_of_operative_ca_a_c_covered_with_at_least_one_digital_mode
Alipurduar,94.99,,2088611.0,
Bankura,87.03,,3963691.0,
Birbhum,94.38,,4162953.0,
Cooch Behar,95.51,,3217035.0,
Dakshin Dinajpur,96.22,,2113402.0,
Darjeeling,87.26,,2305461.0,
Hooghly,86.89,148454.0,7295664.0,128998.0
Jalpaiguri,89.92,,3071111.0,
Jhargram,85.23,,1053562.0,
Kalimpong,74.45,5952.0,386775.0,4431.0
Kolkata,87.02,540406.0,9184792.0,470253.0
Malda,89.02,,4998935.0,
Murshidabad,91.11,108315.0,7775844.0,
North 24 Parganas,87.43,281208.0,12293795.0,245869.0
Paschim Bardhaman,88.95,,3356554.0,
Paschim Medinipur,88.94,,5618200.0,
Purba Bardhaman,88.91,,5147850.0,
Purba Medinipur,78.13,142589.0,4981230.0,111407.0
Purulia,86.69,,3118464.0,
South 24 Parganas,89.91,144885.0,9889113.0,130259.0
Uttar Dinajpur,91.5,,3619793.0,
