district,aapb_achieved_in_current_fy_2025_26_94,aapb_target_370,annual_target_74515,annual_target_achievement_in_current_fy_2025_26_116,apy_accounts_opened_in_current_fy_2025_26_86269,cumulative_apy_accounts_opened_since_inception_517805,no_of_branches_916
Alipurduar,153.0,390.0,5580.0,203.0,11301.0,71535.0,74.0
Bankura,189.0,350.0,22230.0,217.0,48257.0,227780.0,255.0
Birbhum,148.0,350.0,23440.0,174.0,40871.0,272667.0,276.0
Cooch Behar,168.0,390.0,17150.0,211.0,36191.0,221164.0,215.0
Darjeeling,58.0,390.0,20070.0,72.0,14499.0,119366.0,249.0
Hooghly,130.0,350.0,40915.0,157.0,64088.0,361389.0,493.0
Howrah,87.0,350.0,34760.0,106.0,36914.0,264565.0,422.0
Jalpaiguri,139.0,370.0,18930.0,171.0,32448.0,210807.0,233.0
Jhargram,157.0,350.0,5430.0,179.0,9707.0,47608.0,62.0
Kalimpong,48.0,285.0,1865.0,57.0,1064.0,7254.0,22.0
Kolkata,22.0,280.0,103445.0,28.0,29481.0,231733.0,1341.0
Malda,242.0,350.0,19055.0,285.0,54257.0,330689.0,224.0
Murshidabad,226.0,350.0,33765.0,268.0,90367.0,557410.0,399.0
Nadia,163.0,350.0,30735.0,200.0,61538.0,340086.0,378.0
Paschim Bardhaman,60.0,280.0,17785.0,79.0,13969.0,78844.0,234.0
Paschim Medinipur,134.0,370.0,32380.0,161.0,51985.0,320618.0,388.0
Purba Bardhaman,102.0,370.0,44975.0,127.0,57165.0,351636.0,558.0
Purba Medinipur,194.0,370.0,28500.0,240.0,68505.0,420110.0,354.0
Purulia,182.0,350.0,14705.0,213.0,31264.0,164867.0,172.0
