district,amount_rs_cr,out_of_a_disbursed_by_bank_no,out_of_a_only_approved_by_bank_disbursement_pending_no,out_of_a_rejected_d,out_of_a_sanctioned_by_bank_no,pending_at_bank_level_verified_by_pmu_stcb_no,total_application_submitted_to_bank_a
Alipurduar,0.82,51.0,3.0,91.0,54.0,3.0,148.0
Bankura,21.68,497.0,14.0,413.0,511.0,95.0,1019.0
Birbhum,19.73,307.0,86.0,252.0,393.0,64.0,709.0
Cooch Behar,3.41,126.0,19.0,300.0,145.0,16.0,461.0
Dakshin Dinajpur,3.25,66.0,7.0,109.0,73.0,16.0,198.0
Darjeeling,20.63,39.0,8.0,118.0,47.0,5.0,170.0
Hooghly,31.66,674.0,48.0,196.0,722.0,56.0,974.0
Howrah,7.99,72.0,9.0,64.0,81.0,10.0,155.0
Jalpaiguri,2.68,61.0,3.0,130.0,64.0,8.0,202.0
Jhargram,2.95,83.0,9.0,98.0,92.0,12.0,202.0
Kalimpong,0.0,9.0,1.0,16.0,10.0,1.0,27.0
Kolkata,4.69,21.0,7.0,14.0,28.0,5.0,47.0
Malda,8.31,142.0,35.0,382.0,177.0,36.0,595.0
Murshidabad,10.06,215.0,61.0,941.0,276.0,43.0,1260.0
Nadia,15.27,57.0,10.0,200.0,67.0,11.0,278.0
North 24 Parganas,10.48,123.0,23.0,416.0,146.0,19.0,581.0
Paschim Bardhaman,4.92,277.0,6.0,24.0,283.0,6.0,313.0
Paschim Medinipur,18.15,610.0,43.0,291.0,653.0,51.0,995.0
Purba Bardhaman,30.18,974.0,91.0,334.0,1065.0,112.0,1511.0
Purba Medinipur,27.64,153.0,29.0,336.0,182.0,49.0,567.0
Purulia,0.37,60.0,7.0,135.0,67.0,6.0,208.0
South 24 Parganas,7.35,134.0,16.0,184.0,150.0,24.0,358.0
Uttar Dinajpur,21.04,92.0,18.0,171.0,110.0,37.0,318.0
