district,disbursed_nos,pending,rejected_nos,sanctioned_nos,total_application_submitted_nos
Alipurduar,2.0,1.0,2.0,2.0,5.0
Bankura,0.0,30.0,16.0,1.0,47.0
Birbhum,4.0,3.0,2.0,4.0,9.0
Cooch Behar,0.0,3.0,8.0,0.0,11.0
Dakshin Dinajpur,2.0,11.0,41.0,4.0,56.0
Darjeeling,4.0,1.0,2.0,4.0,7.0
Hooghly,12.0,19.0,25.0,15.0,59.0
Howrah,11.0,22.0,4.0,13.0,39.0
Jalpaiguri,2.0,4.0,15.0,3.0,22.0
Jhargram,5.0,15.0,14.0,6.0,35.0
Kalimpong,2.0,2.0,4.0,2.0,8.0
Kolkata,2.0,1.0,0.0,3.0,4.0
Malda,6.0,3.0,5.0,8.0,16.0
Murshidabad,9.0,37.0,32.0,14.0,83.0
Nadia,5.0,14.0,49.0,7.0,70.0
North 24 Parganas,9.0,6.0,5.0,14.0,25.0
Paschim Bardhaman,0.0,1.0,0.0,0.0,1.0
Paschim Medinipur,7.0,13.0,11.0,9.0,33.0
Purba Bardhaman,4.0,17.0,31.0,8.0,56.0
Purba Medinipur,17.0,23.0,5.0,25.0,53.0
Purulia,7.0,9.0,41.0,8.0,58.0
South 24 Parganas,12.0,156.0,450.0,18.0,624.0
Uttar Dinajpur,1.0,3.0,1.0,1.0,5.0
