District,O/S No.,O/S Amt,CY Disb No.,CY Disb Amt
Baksa,38749,15852.78,424,295.16
Barpeta,149635,64811.08,1440,1403.49
Biswanath,52723,23127.56,568,428.44
Bongaigaon,62048,33126.73,2753,2325.83
Cachar,204147,102898.47,4081,3545.05
Charaideo,20833,11453.41,482,367.29
Chirang,30869,16925.49,596,258.06
Darrang,93866,38293.72,932,905.36
Dhemaji,44968,25750.98,683,745.83
Dhubri,113638,52532.79,1054,996.3
Dibrugarh,158678,98296.7,3319,3901.72
Dima Hasao,4548,9129.36,141,353.36
Goalpara,66233,30473.02,730,619.09
Golaghat,139242,59805.22,3001,2007.23
Hailakandi,34095,17124.21,1596,1181.01
Hojai,58608,26513.2,574,514.24
Jorhat,147944,80658.44,3547,3431.5
Kamrup Metro,226409,93872.06,3499,3067.27
Karbi Anglong,38032,27304.71,1298,1460.86
Karimganj,99616,42515.28,4012,3030.41
Kokrajhar,39092,26342.12,798,781.68
Lakhimpur,119874,55375.56,1458,1567.01
Majuli,4440,1949.24,69,63.86
Morigaon,74277,32100.51,826,709.6
Nagaon,239785,108181.45,3759,2610.47
Nalbari,100675,39226.49,788,726.04
Sivasagar,117607,66096.59,3917,3229.85
Sonitpur,139297,72115.23,1925,2743.75
South Salmara,1007,1026.45,21,13.56
Tinsukia,101867,63234.58,2748,2682.86
Udalguri,34379,20339.7,627,541.3
West Karbi Anglong,6242,5591.05,120,118.92
